Name,,Publications,publication,Citations,h-index
"371. Ghosh, Arindam K.",,2,2016,1,7
"372. Ghosh, Arpita",,2,2012,2,1
"373. Ghosh, Debasree",,2,2014,5,8
"374. Ghosh, Souvik P.",,2,2016,0,6
"375. Guchait, Monoranjan",,2,2014,46,58
"376. Gupta, Vinod Kumar",,2,2014,1,1
"377. Gurtu, A.",,2,2013,2,34
"378. Habib, Mohammad Ahasan",,2,2011,1,9
"379. Ikbal, Md Asif",,2,2012,17,5
"380. Jha, Uday Chand",,2,2016,1,4
"381. Kabir, Lutful",,2,2014,3,3
"382. Kandasamy, Palani",,2,2015,7,1
"383. Karmakar, Hemanta",,2,2016,0,0
"384. Khan, Basirahamed",,2,2014,3,1
"385. Kibriya, Golam",,2,2016,1,1
"386. Kumar, Dhanesh",,2,2016,4,1
"387. Kumari, Deepa",,2,2016,37,1
"388. Maitra, Amarnath Nath",,2,2011,115,26
"389. Majumder, Sandip",,2,2013,3,1
"390. Malpaharia, Pijush",,2,2014,7,1
"391. Mandal, Akash Pradip",,2,2016,1,1
"392. Mandal, Arup Ratan",,2,2012,8,5
"393. Mandal, Byomkesh",,2,2012,1,1
"394. Mathew, Anil Kuruvilla",,2,2016,3,1
"395. Mazumder, Shibnath",,2,2011,17,11
"396. Mondal, Banibrata",,2,2015,8,2
"397. Mondal, Sadhan",,2,2013,45,6
"398. Mondal, Samiran",,2,2014,0,0
"399. Mondal, Sudip Kumar",,2,2016,0,20
"400. Mukherjee, Ashish",,2,2013,0,1
"401. Mukherjee, Kalishankar",,2,2016,3,2
"402. Mukherjee, Priyanka",,2,2014,20,3
"403. Mukhopadhyay, Soumalya",,2,2016,0,0
"404. Munshi, Chayan",,2,2016,1,1
"405. Munsi, P. S.",,2,2011,1,1
"406. Murmu, Sudhir",,2,2015,0,0
"407. Naskar, Aswini",,2,2015,29,2
"408. Nath, Poulomi",,2,2016,1,1
"409. Nurjamal, Khondekar",,2,2016,0,0
"410. Ojha, Sri Narayan",,2,2012,0,1
"411. Pau, Pumkhan",,2,2014,2,1
"412. Podder, Santosh",,2,2011,51,6
"413. Pramanik, Koushik",,2,2014,7,1
"414. Prasad, B. V G",,2,2015,0,0
"415. Rahman, Md Sabiar",,2,2015,5,3
"416. Rakshit, Santanu",,2,2016,2,2
"417. Rani, Radha",,2,2014,1,1
"418. Raychaudhuri, Biplab",,2,2014,0,4
"419. Raychaudhuri, Biplab",,2,2016,0,0
"420. Roy, Biswajit Gopal",,2,2014,5,8
"421. Roy, Dipika",,2,2016,0,0
"422. Roy, Tanami S Christopher",,2,2016,7,6
"423. Roy, U.",,2,2016,2,1
"424. Roy, Uday Sankar",,2,2012,16,4
"425. Saha, Ipsita",,2,2016,0,0
"426. Saha, Jagabandhu",,2,2016,0,0
"427. Saha, Mahendra",,2,2012,2,1
"428. Saha, Samarkr",,2,2014,15,2
"429. Saha, Taraknath",,2,2014,6,6
"430. Sarkar, Narayan Chandra",,2,2016,1,1
"431. Sarkar, Sajal Kumar",,2,2013,9,6
"432. Sarkar, Suman",,2,2016,2,1
"433. Schmidt, Ringo S.",,2,2011,90,56
"434. SenGupta, Asmita",,2,2015,2,3
"435. Sengupta, Sarbajit",,2,2015,2,1
"436. Seth, Mohua",,2,2011,8,6
"437. Shome, Arunima",,2,2016,3,1
"438. Singh, Khangembam Lenin",,2,2015,5,1
"439. Singh, Umesh Kumar",,2,2017,2,6
"439. Singh, Umesh Kumar",,2,2017,2,6
"440. Singsardar, Mukta",,2,2016,0,0
"441. Srivastava, Ritu",,2,2015,6,1
"442. Acharya, Sattwika",,1,2017,0,0
"443. Ali, Md Ashif",,1,2017,0,4
"444. Bagh, Bidisha",,1,2012,0,1
"445. Bala, Sanjib Kumar",,1,2011,1,3
"446. Balachandran, Sivaraman",,1,2014,1,10
"447. Balachandran, Srinivasan",,1,2017,0,1
"448. Bandyopadhyay, Sibdas ORCID",,1,2016,0,8
"449. Banerjee, Goutam",,1,2017,0,0
"450. Banerjee, Partha Protim",,1,2011,2,2
"451. Banerjee, Pintu",,1,2011,0,1
"452. Banerjee, Sudeshna",,1,2017,1,9
"453. Bayen, Stéphane",,1,2011,15,15
"454. Bera, Ranjan",,1,2012,2,4
"455. Bera, Sudip",,1,2017,0,1
