Name,,Publications,publication,citations,h-index
"369. Goswami, Nirmali",,3,2015,0,0
"370. Goswami, Rajib",,3,2016,3,2
"371. Gour, Nand Kishor",,3,2016,0,4
"372. Hazarika, Deepshikha",,3,2016,9,2
"373. Kakati, Biraj Kumar",,3,2016,1,9
"374. Kalam, Mohammad Abul",,3,2016,0,2
"375. Karmakar, Pralay Kumar",,3,2016,0,0
"376. Kashyap, Parismita A.",,3,2014,0,1
"377. Khanam, Rizwin",,3,2016,3,1
"378. Khatioda, Rajiv",,3,2016,6,1
"379. Kumar, Rahul V.",,3,2015,4,20
"380. Kumar, Vijay Bhooshan",,3,2012,24,7
"381. Lakshmi Kantam, Mannepalli",,3,2016,9,6
"382. Mahanta, Sanjeev Pran",,3,2016,9,5
"383. Maiti, Jatindranath",,3,2011,29,10
"384. Makroo, Hilal Ahmad",,3,2016,2,1
"385. Manas, Munish",,3,2017,0,1
"386. Mandal, Moon",,3,2016,11,2
"387. Mishra, Bhupesh Kr",,3,2014,11,2
"388. Murthy, C. S H N",,3,2016,1,1
"389. Narzari, Rumi",,3,2016,13,1
"390. Ojah, Kanan Kumari",,3,2012,28,2
"391. Ozah, S.",,3,2015,20,2
"392. Paul, Dimpi",,3,2016,1,1
"393. Phukan, Arunav",,3,2016,2,1
"394. Purkayastha, Manashi Das",,3,2015,9,2
"395. Rahman, Tahleen A.",,3,2015,0,0
"396. Rai, Sudhir K.",,3,2012,51,3
"397. Sah, Rajesh Kumar",,3,2016,3,1
"398. Sahu, Poonam P.",,3,2016,3,1
"399. Saikia, Ankurjyoti",,3,2014,8,3
"400. Saikia, Basanta",,3,2016,16,2
"401. Saikia, Gangutri",,3,2017,6,2
"402. Saikia, Himadri Jyoti",,3,2017,12,2
"403. Saikia, Ruprekha",,3,2016,18,1
"404. Sarania, Bidyut",,3,2017,2,1
"405. Sarkar, Chandrama R.",,3,2015,28,4
"406. Sarma, Dhrubajyoti Jyoti",,3,2015,7,2
"407. Sarmah, Achyanta Kumar",,3,2015,12,2
"408. Sarmah, Nabin",,3,2016,7,9
"409. Sarmah, Sauravjyoti",,3,2012,11,2
"410. Sharma, Chandan Kumar",,3,2016,3,1
"411. Sharma, Padmaja",,3,2016,1,1
"412. Shekhar, Shubhendu",,3,2016,12,4
"413. Singh, Sangeeta",,3,2016,2,1
"414. Sonowal, Durlav",,3,2016,3,1
"415. Talukdar, K.",,3,2016,33,3
"416. Tanti, Bhaben",,3,2013,5,3
"417. Tripathi, Alok Mani",,3,2012,16,5
"418. Acharyya, Rashmisnata",,2,2015,6,2
"419. Agan, F.",,2,2015,8,2
"420. Baglari, Silpi",,2,2013,36,2
"421. Banerjee, Arunabha",,2,2015,8,3
"422. Barman, Pranjal",,2,2015,1,1
"423. Barthakur, Anasuya",,2,2015,2,1
"424. Baruah, Kishor Kumar",,2,2012,7,3
"425. Begum, Mahmuda",,2,2016,1,1
"426. BHARALI, DIPSHIKHA",,2,2015,39,2
"427. Bhattacharjee, Debajyoti",,2,2016,2,12
"428. Bhattacharya, Kakoli",,2,2017,0,1
"429. Bhattacharya, Kiran",,2,2015,20,2
"430. Bhowmick, Sirsendu",,2,2013,8,3
"431. Bodt, Timotheus Adrianus",,2,2015,0,0
"432. Bora, Abhijit",,2,2012,0,0
"433. Borah, Himadri",,2,2016,1,1
"434. Borah, Manashita",,2,2016,0,0
"435. Borah, Pallabi",,2,2016,1,1
"436. Borah, Subasit",,2,2012,3,2
"437. Bordoloi, Simanta",,2,2012,2,1
"438. Borthakur, Lakhya Jyoti",,2,2016,4,5
"439. Chakraborty, Maumita",,2,2013,22,3
"439. Chakraborty, Maumita",,2,2013,22,3
"440. Chamuah, Nabadweep",,2,2016,1,1
"441. Chandra Deka, Ramesh",,2,2016,7,1
"442. Choudhury, Monisha",,2,2015,6,2
"443. Choudhury, Parag",,2,2015,5,2
"444. Choudhury, Sumita",,2,2014,10,2
"445. Das, Debasish K.",,2,2013,0,6
"446. Das, H. K.",,2,2016,1,1
"447. Das, Pallabi",,2,2016,31,1
"448. Das, Queen",,2,2014,5,1
"449. Das, Reshmi R.",,2,2014,11,7
"450. Das, Rupali",,2,2012,7,4
"451. Dasgupta, Suman",,2,2017,0,7
"452. Deka, Krisha M.",,2,2014,1,1
"453. Dutta, Anamika",,2,2011,25,3
"454. Dutta, Gitamani",,2,2015,3,1
"455. Dutta, Nimisha",,2,2012,0,1
"456. Dutta, Partha Pratim",,2,2015,7,2
"457. Dutta, Pinky",,2,2014,1,1
"458. Ganguli, Susmita",,2,2015,6,1
"459. Gogoi, Ankur",,2,2011,6,6
"460. Gogoi, Pankaj",,2,2016,18,1
"461. Gogoi, Pragyan Jyoti",,2,2016,0,1
"462. Gohain, Biren",,2,2013,19,7
"463. Gohain, Dibakar",,2,2014,11,1
"464. Goswami, Deepjyoti",,2,2015,0,2
"465. Hazarika, Munmun",,2,2013,0,0
"466. Kalita, Diganta I.",,2,2011,38,12
"467. Kalita, Dipsikha",,2,2017,1,1
"468. Kalita, Pankaj",,2,2014,1,4
"469. Kashyap, Hirak Jyoti",,2,2014,16,1
"470. Konwar, Bolin Kumar",,2,2014,32,2
"471. Konwar, Dimpul",,2,2014,14,3
"472. Kumar Das, Mrinal",,2,2014,0,0
"473. Kumar Sarma, Jayanta",,2,2014,0,0
"474. Kumar, Ashok N.",,2,2013,22,39
"475. Kumar, Avinash",,2,2015,0,1
"476. Kumar, Manish",,2,2015,7,1
"477. Kumar, Mattaparthi Venkata Satish",,2,2016,6,5
"478. Mahanta, Anusree",,2,2015,9,2
"479. Mandal, Manabendra",,2,2014,11,1
"480. Medhi, Nabajyoti",,2,2012,2,1
"481. Medhi, Nirab",,2,2016,1,1
"482. Nath, Debarshi Prasad",,2,2012,0,0
"483. Nath, Debarshi Prasad",,2,2015,0,0
"484. Nath, Kallol",,2,2014,15,3
"Nikhil, Neeraj",,2,2016,1,1
"Patra, Bidyut Kr",,2,2011,0,3
"Paul, Don Mc K",,2,2015,2,10
"Paul, Samrat",,2,2011,94,6
"Rai, Sudhir K.",,2,2015,4,1
"Rakshit, Kaustubh",,2,2015,2,1
"Ray, Jagat Dwipendra",,2,2016,0,0
"Raza, Mohammad Tabish",,2,2013,0,2
"Saikia, Mukesh",,2,2014,1,1
"Sarma, Banashree",,2,2014,3,1
"Sarma, Himangshu",,2,2014,0,0
"Sarmah, Debashis",,2,2013,2,3
"Sarmah, Ritupan",,2,2015,6,2
"Saxena, Juhi",,2,2016,4,1
"Sedai, Pitambar",,2,2016,1,1
"Sharma, Purnima Kumari",,2,2017,0,1
