University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Osaka University,57,63.1,,,-0.107017544,0.011452755,0.107017544
University of Massachusetts Amherst,69.3,63.1,,,0.089466089,0.008004181,0.089466089
University of Minnesota,86.9,63.1,,,0.273878021,0.07500917,0.273878021
Yale University,65.2,63.2,,,0.030674847,0.000940946,0.030674847
Lancaster University,74.9,63.2,,,0.156208278,0.024401026,0.156208278
Royal Holloway University of London,71.5,63.4,,,0.113286713,0.012833879,0.113286713
National Technical University of Athens,48.7,63.7,,,-0.308008214,0.09486906,0.308008214
University of British Columbia,66.8,63.7,,,0.046407186,0.002153627,0.046407186
Fudan University,73.9,63.7,,,0.138024357,0.019050723,0.138024357
Aalto University,57.9,63.8,,,-0.101899827,0.010383575,0.101899827
Politecnico di Torino,70.7,63.8,,,0.097595474,0.009524877,0.097595474
University of Waikato,53.1,64.4,,,-0.212806026,0.045286405,0.212806026
King's College London,71.2,64.8,,,0.08988764,0.008079788,0.08988764
University of Texas Dallas,88.9,65.7,,,0.260967379,0.068103973,0.260967379
The Katz School at Yeshiva University,56.6,65.9,,,-0.164310954,0.02699809,0.164310954
University of Ottawa,59.8,66,,,-0.10367893,0.01074932,0.10367893
National University of Singapore (NUS),70.9,66.2,,,0.06629055,0.004394437,0.06629055
The University of Arizona,67.1,66.4,,,0.010432191,0.000108831,0.010432191
University of Michigan,71.7,66.7,,,0.069735007,0.004862971,0.069735007
"The University of Tennessee, Knoxville",56.5,67.4,,,-0.192920354,0.037218263,0.192920354
University of Pennsylvania,72.9,67.4,,,0.075445816,0.005692071,0.075445816
Indian Institute of Technology Madras (IITM),73.3,67.6,73.3,67.6,0.077762619,0.006047025,0.077762619
East China University of Science and Technology,77.8,67.6,,,0.131105398,0.017188626,0.131105398
University of Windsor,70.9,67.7,,,0.045133992,0.002037077,0.045133992
"Trinity College Dublin, The University of Dublin",62.4,68.3,,,-0.094551282,0.008939945,0.094551282
Monash University,64.2,68.5,,,-0.066978193,0.004486078,0.066978193
Dalhousie University,65.5,68.5,,,-0.045801527,0.00209778,0.045801527
Imperial College London,69.8,68.7,,,0.015759312,0.000248356,0.015759312
University of Mons,77.2,69,,,0.106217617,0.011282182,0.106217617
Technical University of Denmark,74,69.3,,,0.063513514,0.004033966,0.063513514
Technische Universität Darmstadt,69,69.6,,,-0.008695652,7.56144E-05,0.008695652
"University of California, San Francisco",71.9,69.6,,,0.031988873,0.001023288,0.031988873
University of St Andrews,79.2,69.6,,,0.121212121,0.014692378,0.121212121
"KIT, Karlsruhe Institute of Technology",58.7,69.8,,,-0.189097104,0.035757715,0.189097104
KTH Royal Institute of Technology,71.3,70,,,0.018232819,0.000332436,0.018232819
