University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Queen Mary University of London,64.7,61,,,0.057187017,0.003270355,0.057187017
University of Vermont,66.8,61.6,,,0.077844311,0.006059737,0.077844311
Kobe University,59.2,61.8,,,-0.043918919,0.001928871,0.043918919
Kanazawa University,55.9,62.2,,,-0.112701252,0.012701572,0.112701252
Sultan Qaboos University,62.1,62.3,,,-0.003220612,1.03723E-05,0.003220612
The National University of Science and Technology MISIS,62.6,62.3,,,0.004792332,2.29664E-05,0.004792332
Technische Universität Braunschweig,65.1,62.4,,,0.041474654,0.001720147,0.041474654
Georgetown University,60.9,62.5,,,-0.026272578,0.000690248,0.026272578
KTH Royal Institute of Technology,62,62.5,,,-0.008064516,6.50364E-05,0.008064516
Chiba University,48.4,62.6,,,-0.29338843,0.086076771,0.29338843
University of Southampton,72.8,62.6,,,0.14010989,0.019630781,0.14010989
University of Florida,62,63.1,,,-0.017741935,0.000314776,0.017741935
University Ulm,64.7,63.7,,,0.015455951,0.000238886,0.015455951
Universidad de Palermo (UP),56.2,64,,,-0.138790036,0.019262674,0.138790036
Université Panthéon-Assas (Paris 2),52.4,64.2,,,-0.22519084,0.050710914,0.22519084
The University of Sheffield,62.7,64.3,,,-0.025518341,0.000651186,0.025518341
American University of Beirut (AUB),60.2,64.6,,,-0.073089701,0.005342104,0.073089701
University of Göttingen,66.1,64.7,,,0.02118003,0.000448594,0.02118003
Dankook University,54.8,64.9,,,-0.184306569,0.033968912,0.184306569
INSEAD,52.5,65.1,,,-0.24,0.0576,0.24
Aalto University,79.6,65.1,,,0.182160804,0.033182559,0.182160804
University of Groningen,67,65.3,,,0.025373134,0.000643796,0.025373134
Universitat Politècnica de València,49.9,65.6,,,-0.314629259,0.09899157,0.314629259
University of Colorado Boulder,64.8,65.6,,,-0.012345679,0.000152416,0.012345679
The Chinese University of Hong Kong (CUHK),65.9,66,,,-0.001517451,2.30266E-06,0.001517451
Tufts University,67.8,66.1,,,0.025073746,0.000628693,0.025073746
RUDN University,57.9,66.2,,,-0.143350604,0.020549396,0.143350604
Boston University,56.5,66.4,,,-0.175221239,0.030702483,0.175221239
Universiti Kebangsaan Malaysia (UKM),53.9,66.5,,,-0.233766234,0.054646652,0.233766234
Peking University,66.4,66.6,,,-0.003012048,9.07243E-06,0.003012048
Gifu University,68.4,66.9,,,0.021929825,0.000480917,0.021929825
Cornell University,68.9,67.4,,,0.021770682,0.000473963,0.021770682
King Abdulaziz University (KAU),66.5,67.5,,,-0.015037594,0.000226129,0.015037594
University of Science and Technology of China,60.8,67.6,,,-0.111842105,0.012508657,0.111842105
ETH Zurich - Swiss Federal Institute of Technology,73.3,68.2,,,0.06957708,0.00484097,0.06957708
Universidad Carlos III de Madrid (UC3M),68.2,68.3,,,-0.001466276,2.14996E-06,0.001466276
Lincoln University,58,68.5,,,-0.181034483,0.032773484,0.181034483
Universidade Federal de São Paulo,68.7,68.5,,,0.002911208,8.47513E-06,0.002911208
Chang Gung University,70.2,69,,,0.017094017,0.000292205,0.017094017
Vilnius University,58.9,69.1,,,-0.173174873,0.029989537,0.173174873
Khalifa University,80.6,69.3,,,0.140198511,0.019655623,0.140198511
Taras Shevchenko National University of Kyiv,65.9,69.4,,,-0.053110774,0.002820754,0.053110774
McGill University,68.8,69.4,,,-0.00872093,7.60546E-05,0.00872093
Ghent University,88.7,69.4,,,0.217587373,0.047344265,0.217587373
Arabian Gulf University,64.6,69.7,,,-0.078947368,0.006232687,0.078947368
KAIST - Korea Advanced Institute of Science & Technology,69.2,70.1,,,-0.01300578,0.00016915,0.01300578
Linköping University,70.3,70.2,,,0.001422475,2.02344E-06,0.001422475
Saint Joseph University of Beirut (USJ),80.3,70.2,,,0.125778331,0.015820189,0.125778331
University of Tsukuba,77,70.7,,,0.081818182,0.006694215,0.081818182
Princeton University,81.8,70.9,,,0.133251834,0.017756051,0.133251834
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",65.9,71.1,,,-0.078907436,0.006226383,0.078907436
