University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Technische Universität Darmstadt,56.4,49.7,,,0.118794326,0.014112092,0.118794326
University of Szeged,42.5,50,,,-0.176470588,0.031141869,0.176470588
"University of California, Los Angeles (UCLA)",50.7,50,,,0.013806706,0.000190625,0.013806706
Moscow State Institute of International Relations (MGIMO University),36.1,50.1,,,-0.387811634,0.150397864,0.387811634
University of Windsor,32.9,50.3,,,-0.52887538,0.279709168,0.52887538
Université de Technologie de Compiègne (UTC),53.2,50.3,,,0.054511278,0.002971479,0.054511278
Carleton University,54.7,50.3,,,0.080438757,0.006470394,0.080438757
Université Pierre et Marie Curie (UPMC),46.9,50.7,,,-0.081023454,0.0065648,0.081023454
Université de Strasbourg,49,50.9,,,-0.03877551,0.00150354,0.03877551
Flinders University,55.3,51,,,0.077757685,0.006046258,0.077757685
Freie Universitaet Berlin,50.8,51.1,,,-0.005905512,3.48751E-05,0.005905512
University of Michigan,37.9,51.2,,,-0.350923483,0.123147291,0.350923483
University of Central Lancashire,56.5,51.2,,,0.09380531,0.008799436,0.09380531
Universiti Teknologi Malaysia,41.3,51.4,,,-0.244552058,0.059805709,0.244552058
Drexel University,55.3,51.8,,,0.063291139,0.004005768,0.063291139
University of Ottawa,51,52.1,,,-0.021568627,0.000465206,0.021568627
Georgetown University,53.2,52.1,,,0.020676692,0.000427526,0.020676692
Université Paris Ouest Nanterre La Défense,55.4,52.5,,,0.05234657,0.002740163,0.05234657
Dublin Institute of Technology,64.2,52.7,,,0.179127726,0.032086742,0.179127726
National Chiao Tung University,55.5,53.1,,,0.043243243,0.001869978,0.043243243
Universität des Saarlandes,47.8,53.2,,,-0.112970711,0.012762382,0.112970711
Murdoch University,42.1,53.6,,,-0.273159145,0.074615918,0.273159145
"University of California, Berkeley (UCB)",79.2,54.6,,,0.310606061,0.096476125,0.310606061
Charles Sturt University,27.8,55,,,-0.978417266,0.957300347,0.978417266
Northwestern University,51.7,55,,,-0.063829787,0.004074242,0.063829787
Ruprecht-Karls-Universitaet Heidelberg,59.5,55.2,,,0.072268908,0.005222795,0.072268908
University of Navarra,54.9,55.3,,,-0.007285974,5.30854E-05,0.007285974
Université catholique de Louvain (UCL),61.8,55.4,,,0.103559871,0.010724647,0.103559871
"KIT, Karlsruhe Institute of Technology",49.6,55.5,,,-0.118951613,0.014149486,0.118951613
