University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
University of YorkUnited Kingdom,75,83.5,,,-8.5,-0.113333333,0.012844444,,,0.113333333
University of CopenhagenDenmark,71.8,83.3,,,-11.5,-0.160167131,0.02565351,,,0.160167131
University of BristolUnited Kingdom,76.6,82.4,,,-5.8,-0.075718016,0.005733218,,,0.075718016
University of BirminghamUnited Kingdom,75.8,82,,,-6.2,-0.081794195,0.00669029,,,0.081794195
University of SheffieldUnited Kingdom,74.8,81.9,,,-7.1,-0.094919786,0.009009766,,,0.094919786
Medical University of ViennaAustria,73.1,81.7,,,-8.6,-0.117647059,0.01384083,,,0.117647059
City University of Hong KongHong Kong,71.3,81.6,,,-10.3,-0.144460028,0.0208687,,,0.144460028
Bangor UniversityUnited Kingdom,73.1,81.3,,,-8.2,-0.112175103,0.012583254,,,0.112175103
Chinese University of Hong KongHong Kong,64,81.1,,,-17.1,-0.2671875,0.07138916,,,0.2671875
University of AlbertaCanada,73.4,80.7,,,-7.3,-0.099455041,0.009891305,,,0.099455041
University of NottinghamUnited Kingdom,70.6,80.6,,,-10,-0.141643059,0.020062756,,,0.141643059
Hong Kong University of Science and TechnologyHong Kong,77.8,80.5,,,-2.7,-0.03470437,0.001204393,,,0.03470437
University of Cape TownSouth Africa,76.7,80.2,,,-3.5,-0.045632334,0.00208231,,,0.045632334
University of TwenteNetherlands,67.2,80.1,,,-12.9,-0.191964286,0.036850287,,,0.191964286
University of PortsmouthUnited Kingdom,73.3,79.3,,,-6,-0.081855389,0.006700305,,,0.081855389
Hong Kong Polytechnic UniversityHong Kong,69.9,79,,,-9.1,-0.13018598,0.016948389,,,0.13018598
University of HertfordshireUnited Kingdom,74.9,78.9,,,-4,-0.053404539,0.002852045,,,0.053404539
University of DundeeUnited Kingdom,64.5,78.5,,,-14,-0.217054264,0.047112553,,,0.217054264
Princeton UniversityUnited States of America,61.2,78.5,,,-17.3,-0.282679739,0.079907835,,,0.282679739
Dalhousie UniversityCanada,71.6,78.3,,,-6.7,-0.093575419,0.008756359,,,0.093575419
Cardiff UniversityUnited Kingdom,69.3,78.1,,,-8.8,-0.126984127,0.016124969,,,0.126984127
University of TorontoCanada,71.2,77.8,,,-6.6,-0.092696629,0.008592665,,,0.092696629
University of StirlingUnited Kingdom,66.9,77.7,,,-10.8,-0.161434978,0.026061252,,,0.161434978
Chalmers University of TechnologySweden,62.5,77.6,,,-15.1,-0.2416,0.05837056,,,0.2416
University of LeedsUnited Kingdom,67.6,77.4,,,-9.8,-0.144970414,0.021016421,,,0.144970414
Vienna University of TechnologyAustria,75.9,77.3,,,-1.4,-0.018445323,0.00034023,,,0.018445323
Harvard UniversityUnited States of America,67.6,77.2,,,-9.6,-0.142011834,0.020167361,,,0.142011834
Deakin UniversityAustralia,71.8,76.9,,,-5.1,-0.071030641,0.005045352,,,0.071030641
Aarhus UniversityDenmark,66.3,76.8,,,-10.5,-0.158371041,0.025081387,,,0.158371041
"National University of Ireland, GalwayRepublic of Ireland",71.7,76.5,,,-4.8,-0.066945607,0.004481714,,,0.066945607
Stanford UniversityUnited States of America,69,76.3,,,-7.3,-0.105797101,0.011193027,,,0.105797101
McMaster UniversityCanada,69.4,76.1,,,-6.7,-0.096541787,0.009320317,,,0.096541787
Erasmus University RotterdamNetherlands,66.2,76.1,,,-9.9,-0.149546828,0.022364254,,,0.149546828
Queensland University of TechnologyAustralia,69.8,76,,,-6.2,-0.088825215,0.007889919,,,0.088825215
University of NewcastleAustralia,70.6,75.9,,,-5.3,-0.075070822,0.005635628,,,0.075070822
University College CorkRepublic of Ireland,70.8,75.5,,,-4.7,-0.066384181,0.004406859,,,0.066384181
Hong Kong Baptist UniversityHong Kong,62.3,75,,,-12.7,-0.203852327,0.041555771,,,0.203852327
University of WaterlooCanada,63.1,74.4,,,-11.3,-0.179080824,0.032069942,,,0.179080824
Université Catholique de LouvainBelgium,59.7,74.2,,,-14.5,-0.242881072,0.058991215,,,0.242881072
Lund UniversitySweden,70.1,74.1,,,-4,-0.057061341,0.003255997,,,0.057061341
Pierre and Marie Curie UniversityFrance,64.7,74.1,,,-9.4,-0.145285935,0.021108003,,,0.145285935
University of Western OntarioCanada,63.7,73.6,,,-9.9,-0.155416013,0.024154137,,,0.155416013
Columbia UniversityUnited States of America,68.3,73.5,,,-5.2,-0.0761347,0.005796493,,,0.0761347
Karolinska InstituteSweden,60.6,73.1,,,-12.5,-0.206270627,0.042547572,,,0.206270627
Aberystwyth UniversityUnited Kingdom,66.5,72.2,,,-5.7,-0.085714286,0.007346939,,,0.085714286
University of Southern DenmarkDenmark,67.1,71.8,,,-4.7,-0.070044709,0.004906261,,,0.070044709
University of StrasbourgFrance,69.5,71.6,,,-2.1,-0.030215827,0.000912996,,,0.030215827
Tilburg UniversityNetherlands,62.2,71.6,,,-9.4,-0.151125402,0.022838887,,,0.151125402
Georgia Institute of TechnologyUnited States of America,68.9,71.5,,,-2.6,-0.037735849,0.001423994,,,0.037735849
Eindhoven University of TechnologyNetherlands,69,71.3,,,-2.3,-0.033333333,0.001111111,,,0.033333333
Aalborg UniversityDenmark,65.8,71,,,-5.2,-0.079027356,0.006245323,,,0.079027356
Wageningen University and Research CenterNetherlands,78.7,70.3,,,8.4,0.106734435,0.01139224,,,0.106734435
University of VictoriaCanada,70.1,70.2,,,-0.1,-0.001426534,2.035E-06,,,0.001426534
University of CalgaryCanada,63.1,70.1,,,-7,-0.110935024,0.012306579,,,0.110935024
University of BergenNorway,65.3,70,,,-4.7,-0.071975498,0.005180472,,,0.071975498
Johns Hopkins UniversityUnited States of America,59.7,70,,,-10.3,-0.172529313,0.029766364,,,0.172529313
University of OttawaCanada,63.2,69.9,,,-6.7,-0.106012658,0.011238684,,,0.106012658
University of LiègeBelgium,69.1,69.7,,,-0.6,-0.008683068,7.53957E-05,,,0.008683068
"St George’s, University of LondonUnited Kingdom",55.8,69.5,,,-13.7,-0.245519713,0.06027993,,,0.245519713
Free University of BerlinGermany,56.6,69.2,,,-12.6,-0.222614841,0.049557367,,,0.222614841
University of GrazAustria,64.8,68.9,,,-4.1,-0.063271605,0.004003296,,,0.063271605
KU LeuvenBelgium,62.3,68.6,,,-6.3,-0.101123596,0.010225982,,,0.101123596
