Name,Publications,publication,Citation,h-index
"368. Haleem, Hammad",4,2015,6,2
"408. Shihab, Suha Karim",4,2015,6,2
"426. Ahsan, Shahzad",3,2014,6,1
"437. Bano, Fareha",3,2014,6,2
"447. Gautam, Deepti",3,2014,6,3
"462. Kapoor, Pranav",3,2012,6,1
"478. Mittal, Upendra",3,2015,6,6
"150. Afzal, Neelofer",9,2016,5,1
"171. Wahid, Mohd",9,2016,5,2
"192. Sufyan Beg, M. M.",8,2014,5,2
"195. Ahmad, Talat",7,2017,5,18
"234. Islam, Shama Naz",6,2015,5,4
"241. Khan, Imranahmed",6,2014,5,1
"349. Ahmad, Istaq",4,2016,5,2
"358. Amir, Mohd",4,2017,5,3
"370. Husain, Mudassir M.",4,2016,5,5
"371. Iqbal, Naved",4,2016,5,3
"411. Singh, Arunesh Kumar",4,2015,5,2
"469. Khan, Zahid H.",3,2013,5,2
"476. Malik, Maqsood Ahmad",3,2012,5,11
"Sachdeva, Shabina",3,2014,5,1
"Seth, Mahesh Kumar",3,2016,5,2
"139. Khan, Munna",10,2016,4,6
"201. Bukhari, Mohd Nadeem",7,2016,4,1
"214. Shabbir, Mohd",7,2016,4,1
"262. Sadiq, Mohd Abdul Karim",6,2016,4,4
"266. Sircar, Keya",6,2016,4,2
"269. Zannat, Wassilatul",6,2016,4,2
270. Advin,5,2012,4,1
"300. Joshi, Stuti K.",5,2014,4,6
"316. Mehrotra, Monica",5,2017,4,1
"341. Thakur, Mamta",5,2012,4,1
"381. Khan, Mohdrais",4,2015,4,2
"398. Pathak, Aruna",4,2013,4,1
"403. Samarendra, Padmanabh",4,2016,4,2
"409. Siddiqui, Lubna",4,2014,4,2
"471. Khandelwal, Pooja",3,2014,4,2
"Rahman, Zini",3,2015,4,1
"119. Imam, Syed Akhtar",11,2016,3,1
"188. Nizamuddin, M.",8,2016,3,1
"225. Amjad, Mohd",6,2017,3,1
"246. Khan, Tabrezalam",6,2016,3,1
"271. Ahmad, Faiyaz",5,2017,3,2
"275. Ahuja, Arty",5,2012,3,1
"276. Akhter, Naseem",5,2016,3,3
"282. Attri, Asha",5,2016,3,1
"292. Dewan, Kum Kum",5,2012,3,4
"301. Kapil, Charu",5,2016,3,1
"305. Khan, Rijwan",5,2017,3,1
"324. Rahman, Abdul Wahab Bin Abdul",5,2015,3,2
"354. Akhtar, Naved",4,2016,3,1
"357. Ali, Anwar",4,2016,3,1
"384. Khursheed Haider, S. M.",4,2012,3,1
"388. Kumar, Sunil Barath",4,2016,3,4
"402. Sadaf, Kishwar",4,2016,3,1
"414. Singh, Urvashi Barman",4,2016,3,1
"424. Ahmad, Naseem T.",3,2013,3,4
"428. Akhtar, Tabassum",3,2014,3,5
"438. Bhardwaj, Ashu",3,2016,3,2
"439. Bhasin, Saranjit Singh",3,2016,3,1
"439. Bhasin, Saranjit Singh",3,2016,3,1
"442. Chauhan, Amit",3,2015,3,5
"479. Mohsin, Mohd",3,2016,3,4
"Singh, Ajai Kumar",3,2015,3,33
"Sultan, Nishat",3,2015,3,2
"261. Reja, Ahmed Hameed",6,2016,2,1
"274. Ahsan, M. A H",5,2017,2,1
"307. Khan, Zahidakhtar",5,2016,2,1
"318. Mustafa, Khurram",5,2014,2,3
"339. Suhail, Mohd",5,2016,2,1
"380. Khan, Mohammadnaved",4,2016,2,1
"386. Kumar, Ajit",4,2015,2,1
"389. Kumar, Vijay",4,2016,2,1
"396. Pacif, Shibesh Kumar Jas",4,2016,2,1
"400. Rahim, Abdur Biswas A",4,2013,2,9
"440. Bhayana, Latika",3,2012,2,1
"452. Gupta, Pankaj Kumar",3,2015,2,1
"456. Hasnain, N.",3,2011,2,1
"461. Kamal, Ahmad Waqas",3,2016,2,2
"93. Mehfuz, Shabana",14,2017,1,1
"212. Parthasarathi, Vibodh",7,2016,1,1
"291. Deb, Tanmoy",5,2016,1,1
"309. Kumar, Arvind",5,2016,1,34
314. Mainuddin,5,2016,1,7
"330. Sethi, Shuchi",5,2015,1,1
"352. Ahmad, Naeem",4,2016,1,5
"360. Ansari, Manzoor Shariz",4,2015,1,1
"365. Chowdhury, Indrani Roy",4,2015,1,2
374. Jahiruddin,4,2016,1,3
"375. Jamali, Mohammed",4,2016,1,1
"394. Neyazi, Taberez Ahmed",4,2016,1,2
"406. Shabir, Humyra",4,2014,1,3
"412. Singh, Devesh",4,2016,1,2
"413. Singh, Shiva Kumar",4,2013,1,5
"422. Ahamad, Gulfam",3,2016,1,1
"432. Ansari, Sabbir",3,2016,1,1
"449. Goyal, Lalit Mohan",3,2015,1,1
"467. Khan, Moazzamhussain",3,2013,1,1
"474. Kumar, Himanshu",3,2015,1,1
"142. Masood, Sarfaraz",10,2017,0,0
"163. König, Lion",9,2016,0,0
"200. Basu, Rumki",7,2012,0,0
"213. Sarwar, Muhammad Imran",7,2016,0,2
"216. Sharma, Bharat Bhushan",7,2016,0,7
"226. Asjad, Mohammad",6,2016,0,2
"232. Haque, Ahteshamul K M S",6,2016,0,0
"244. Khan, Mohd Tauseef",6,2017,0,0
"260. Rana, Ankur Singh",6,2016,0,0
"260. Rana, Ankur Singh",6,2016,0,0
"294. Hassan, Md Imtaiyaz",5,2017,0,0
"296. Hussain, S. M Suhail",5,2016,0,1
"333. Shakil, Kashish Ara",5,2015,0,0
"348. Abbasi, Mohammad Yahya",4,2015,0,0
"363. Basar, Abul",4,2015,0,0
"377. Khair, Tabish",4,2012,0,2
"393. Narayan, Shyamala A.",4,2015,0,0
"401. Rai, Arpita",4,2016,0,0
"404. Sami, Neha",4,2016,0,0
"435. Ashfaq, Haroon",3,2016,0,2
"445. Dhall, Sakshi",3,2016,0,1
"446. Fatima, Sadaf",3,2016,0,8
"463. Katiyar, Gauri",3,2016,0,0
"477. Malik, Md Zubbair",3,2017,0,1
"Qureshi, M. I.",3,2016,0,3
"Shah, Adfar Rashid",3,2011,0,0
"Singh, Omveer",3,2012,0,1
"Tiwari, Usha",3,2016,0,1
