Name,,Publications,publication,Citation,h-index
"295. Sagolshemcha, Romesh",,1,2011,1,1
"296. Salam, Bishworjit",,1,2011,0,0
"297. Sanatombi, Rajkumari",,1,2016,0,0
"298. Sanjita, Chongtham",,1,2016,0,0
"299. Sapna, P.",,1,2013,2,1
"300. SAROJNALINI, CH",,1,2015,0,1
"301. Satyabhama Devi, S.",,1,2011,3,1
"302. Shangkhunem, Tontang",,1,2011,0,0
"303. Shanjukumar Singh, Lisam",,1,2016,0,0
"304. Shantikumar, L.",,1,2014,2,1
"305. Sharma, Aribam Umananda",,1,2012,0,0
"306. Shyamkeso Singh, Mutum",,1,2013,1,1
"307. Sijagumayum, Umarani",,1,2011,1,1
"308. Sinam, Yoirentomba Meetei",,1,2012,2,1
"309. Singh, Ak M.",,1,2011,7,1
"310. Singh, Brajamani",,1,2017,0,0
"311. Singh, Ch Ibohal",,1,2013,1,1
"312. Singh, Ch Shyam",,1,2011,0,0
"313. Singh, Chongtham Henary",,1,2016,0,0
"314. Singh, Chungkham Yashawanta",,1,2011,0,0
"315. Singh, Deepak Ningombam",,1,2017,0,0
"316. Singh, Elangbam Shanta",,1,2016,1,1
"317. Singh, Huidrom SURAJ Uraj",,1,2016,0,3
"318. Singh, Ibotombi N.",,1,2016,0,0
"319. Singh, Kanwaljit Saratchandra",,1,2011,0,0
"320. Singh, Kh Biren",,1,2011,3,2
"321. Singh, Khangengbam Dilip",,1,2012,0,0
"322. Singh, Kishorechand",,1,2016,0,0
"323. Singh, Ksh Surjit",,1,2016,0,0
"324. Singh, Laishram Sunil Hantikumar",,1,2014,1,1
"325. Singh, Laisuhram Newton",,1,2011,0,1
"326. Singh, Mahipal Nara K",,1,2011,19,3
"327. Singh, Mahipat Sudhiranjan",,1,2012,0,2
"328. Singh, Maishnam Rustam",,1,2013,0,1
"329. Singh, Mamta Dhaneshwar",,1,2011,3,8
"330. Singh, Mandeep P.",,1,2014,0,4
"331. Singh, Manish Pradipchandra",,1,2012,0,1
"332. Singh, Mayshree Devachandra",,1,2016,0,3
"333. Singh, Moirangthem Dhaneshwar",,1,2014,5,3
"334. Singh, Moirangthem Kulachandra",,1,2012,0,2
"335. Singh, Namrata Arunkumar",,1,2012,1,10
"336. Singh, Nandita Kumar Sharat",,1,2015,0,28
"337. Singh, Naorem Bikramjit",,1,2011,3,1
"338. Singh, Ng Boinis",,1,2011,0,0
"339. Singh, Ningombam Herojit",,1,2011,1,1
"340. Singh, Ningombam Ibotombi",,1,2011,2,2
"341. Singh, Nirpendra Rajmuhon",,1,2017,0,11
"342. Singh, Nityanand Dhirendra",,1,2016,0,6
"343. Singh, Okram Mukherjee",,1,2016,2,1
"344. Singh, Paonam Priyobrata",,1,2016,0,0
"345. Singh, Pritpal K.",,1,2011,0,21
"346. Singh, Rajnish Kumar Bhubon",,1,2014,12,6
