Name,,Publications,publication,citation,h-index
"405. Suresh Babu, K.",,5,2017,15,2
"406. Sureshkumar, M.",,5,2017,4,1
"407. Tharanikkarasu, Kannan A.",,5,2014,80,15
"408. Vaidyanathan, V. S.",,5,2016,0,1
"409. Vimala, S.",,5,2016,3,2
"410. Vivekanandhan, Singaravelu",,5,2015,21,12
"411. Abarna, S.",,4,2011,1,1
"412. Allam, Srinivasa Rao",,4,2016,2,1
"413. Amuthan, A.",,4,2016,4,1
"414. Annadurai, P.",,4,2016,1,3
"415. Arounassalame, M.",,4,2016,3,3
"416. Balakrishnan, S.",,4,2016,2,1
"417. Bharathi, V.",,4,2016,1,4
"418. Bhuvaneswari, B.",,4,2016,3,1
"419. Chinta, Gopichand",,4,2016,7,2
"420. Danapaquiame, N.",,4,2015,2,1
"421. Das, Biswajit B.",,4,2014,2,19
"422. Dash, Jitendra K.",,4,2014,18,3
"423. Deo, Malabika",,4,2016,0,1
"424. Dhanavanthan, P.",,4,2015,1,2
"425. Durairaj, Varalakshmi",,4,2015,4,2
"426. Duraivel, T.",,4,2016,0,1
"427. Eswari, S.",,4,2016,7,2
"428. Ezhilarasan, Vijayalakshmi",,4,2014,8,1
"429. George, Arun",,4,2014,0,0
"430. Govindanarayanan, Idayachandran",,4,2016,3,1
"431. Hoda, Muddasarul",,4,2016,10,2
"432. Indumathi, V.",,4,2017,16,5
"433. Jobina, Rajkumari",,4,2016,1,1
"434. Kamalraja, Jayabal",,4,2014,4,5
"435. Kanmani, Sellappa S.",,4,2015,5,10
"436. Karthick, Perumal",,4,2015,3,1
"437. Karthikeyan, Madurakavi",,4,2016,1,1
"438. Karthikeyan, Muthuraman K.",,4,2014,25,6
"439. Karthikeyan, Parasuraman",,4,2015,6,9
"439. Karthikeyan, Parasuraman",,4,2015,6,9
"440. Kaviarasan, T.",,4,2015,4,2
"441. Kumar, Pragati Ramesh Rajesh",,4,2016,71,11
"442. Kumar, Rita Satish Arun",,4,2012,18,11
"443. Lakshmi, Pragna",,4,2016,12,2
"444. Lipton, Anuj Nishanth",,4,2016,19,2
"445. Loganathan, D.",,4,2014,10,2
"446. Lone, Abdul Gaffar",,4,2016,13,2
"447. Mangalaraj, Selvaraj",,4,2016,19,2
"448. Maury, Shrikant Balaji Shrikant",,4,2016,5,2
"449. Moushumi Priya, A.",,4,2014,24,3
"450. Murugan, Arumugam Vadivel",,4,2016,14,21
"451. Muthanna, Nandurka",,4,2016,9,2
"452. Nambirajan, T.",,4,2016,2,1
"453. Nandan, Brajesh",,4,2014,24,2
"454. Narshimulu, Gonela",,4,2015,2,2
"455. Palaka, Bhagath Kumar",,4,2016,1,2
"456. Panneerselvam, Manivel",,4,2016,8,2
"457. Paraneeiswaran, Arunachalam",,4,2016,14,2
"458. Porseizan, K.",,4,2015,95,4
"459. Prabavathi, M.",,4,2015,9,1
"460. Prabhakaran, G.",,4,2014,18,2
"461. Pradeep, J.",,4,2014,21,3
"462. Rajagopalan, Muthukumaran Venkatraman",,4,2016,4,2
"463. Rajaguru., Dayalan",,4,2016,1,2
"464. Ramakrishna, Kankanala",,4,2014,40,3
"465. Ramakrishna, Kankanala",,4,2016,11,2
"466. Raman, Gurusamy",,4,2015,15,5
"467. Rathinam, N.",,4,2015,12,3
"468. Sali, Veeresh Kumar",,4,2016,15,2
"469. Sandanalakshmi, R.",,4,2016,1,1
"470. Santhi, K.",,4,2015,2,1
"471. Sarala, R.",,4,2016,0,0
"472. Sarma, Vongala Venkateswara S S",,4,2015,1,20
"473. Sathya, S. Siva",,4,2016,14,4
"474. Sathyamoorthy, B.",,4,2015,22,2
"475. Satpathy, Deepmala",,4,2014,19,3
"476. Seghal Kiran, George",,4,2014,61,9
"477. Sekhar, Tatavarthy Venkata Satya",,4,2012,14,6
"478. Shah, Aasif",,4,2016,9,1
"479. Shahid, T. S.",,4,2016,1,1
"480. Shunmugapriya, P.",,4,2013,11,2
"481. Subbiah, M.",,4,2015,2,4
"482. Suresh Joseph, K.",,4,2016,0,0
"483. Swu, Toka",,4,2014,21,6
"484. Tabassum-Abbasi, Tabassum",,4,2016,67,4
"Tamilarasi, Muthu",,4,2016,5,3
"Tamilselvan, Sakthivel",,4,2016,5,3
"Tamizmani, Masilamani",,4,2014,17,2
"Thachayani, M.",,4,2015,3,1
"Thanigasalam, M.",,4,2016,0,0
"Thiagarajan, Arumugam",,4,2012,8,1
"Thomas, Jugina V.",,4,2015,23,7
"Vadlamudi, Yellamandayya",,4,2016,12,2
"Vasanth, S.",,4,2015,15,3
"Vidhyasagar, Venkatasubramanian",,4,2015,29,5
"Vijjapu, Satish",,4,2015,9,2
"Vikramathithan, Jeyaraman",,4,2012,13,3
"Vimal Raj, P. Ajay D",,4,2016,17,2
"Anitha, Kumar V.",,3,2015,15,4
"Kandasamy, Periyasamy",,3,2015,7,2
"Keshava Prasad, Thottethodi Subrahmanya",,3,2013,16,8
