University ,National Rank-14,Overall-14,Alumini-14,Award-14,HiCi-14,N&S-14,PUB-14,PCP-14,World Rank-14
University of Tennessee - Knoxville,,,10.5,0,15.9,13.1,39.1,14.6,
University of the Witwatersrand,01-Feb,,19,0,7.1,16.3,31.9,18.3,
University of Tsukuba,09-Oct,,0,19.6,5.8,10.9,35.7,15.6,
University of Valencia,02-Apr,,0,0,8.6,9.4,41.8,14.4,
University of Victoria,Aug-16,,0,0,17.2,8.2,30.6,19.5,
University of Waterloo,Aug-16,,0,0,14.6,12.6,41.6,21.3,
University of York,,,0,0,13.9,16.2,33,20.4,
Virginia Polytechnic Institute and State University,,,11.8,0,11.4,8.4,40.4,16.7,
Washington State University,,,0,0,17.3,10,30,16.1,
Western University (The University of Western Ontario),Aug-16,,0,0,5.1,15,41.9,18,
Western University,,,,,,,,,
Xian Jiao Tong University,07-Dec,,0,0,8.7,8.1,46.4,17.4,
Yeshiva University,,,0,0,6.3,21.8,32.9,21.9,
Yonsei University,02-May,,0,0,8.6,6.6,51.1,20.8,
Beihang University,,,0,0,8.6,4.1,37.1,15,
Brandeis University,,,19.7,0,3.6,20.3,18.4,24.6,
Brigham Young University,,,9.1,0,12.2,6.7,26.2,12.5,
Central South University,,,0,0,7.1,1.5,45.3,15.3,
Chalmers University of Technology,09-Oct,,0,0,8.9,11.1,30.2,20,
Chiba University,Nov-14,,0,0,8.7,10.1,29,15.7,
China Agricultural University,,,0,0,0,13.1,39.2,16.6,
China Medical University,,,,,,,,,
City University of New York City College,,,29.3,0,5.1,8.4,17.9,18.4,
Complutense University of Madrid,05-Aug,,19.7,0,0,5.5,42.9,12.1,
Curtin University,Oct-18,,0,0,7.1,12.1,34.8,21.4,
Dalian University of Technology,,,0,0,5,4.6,42.1,16.7,
Drexel University,,,0,0,12.3,8.8,28.6,18.2,
Ecole Polytechnique,,,17.5,0,5.1,9.7,27,21.3,
Eindhoven University of Technology,11-Dec,,0,0,12.3,8.4,31.9,22.5,
Eotvos Lorand University,1,,13.9,0,10.1,8.6,23.7,13.4,
ESPCI ParisTech,,,7.4,18.8,0,9.5,15.5,28.9,
Federal University of Minas Gerais,02-May,,0,0,3.6,4.9,37.9,17.9,
Federal University of Rio de Janeiro,02-May,,0,0,0,8.1,40.5,19.2,
Flinders University,Oct-18,,15.8,0,5.1,4.1,28.5,21.3,
Georgetown University,,,0,0,11.1,9.1,31.9,17.9,
Griffith University,Oct-18,,0,0,3.6,7.6,35.1,18.3,
Hannover Medical School,,,0,0,8.7,7.5,31.5,16.1,
Hanyang University,06-Aug,,0,0,0,6.7,39.8,20.8,
Florida International University,,,,,,,,,
Hiroshima University,Nov-14,,0,0,4.8,13.6,33.1,14.9,
Indian Institute of Science,1,,0,0,7.2,2.9,35.7,17.3,
Indiana University-Purdue University at Indianapolis,,,0,0,7.1,11.9,38.2,13.6,
Jagiellonian University,01-Feb,,10.5,0,3.6,6.8,34,16.6,
James Cook University,Oct-18,,0,0,10.1,15.7,27.3,23.5,
Jilin University,,,0,0,0,9.9,48.9,12.8,
Keio University,Nov-14,,0,0,5.1,13,34,13.5,
Kyung Hee University,06-Aug,,0,0,5,3.1,40,18.1,
Lancaster University,,,0,0,13.9,7.5,29.3,18.5,
Lanzhou University,,,0,0,7.1,2.2,36.6,17.5,
Linkoping University,09-Oct,,0,0,10.7,9.5,35.1,17.7,
London School of Hygiene & Tropical Medicine,,,7.4,0,7.1,5.8,31.9,20.8,
Nankai University,,,0,0,5,6.8,36.5,13.9,
National and Kapodistrian University of Athens,1,,0,0,10.6,3.8,39.8,19.2,
National Chiao Tung University,4,,0,0,8.6,9.3,34.7,20.4,
Paris Dauphine University (Paris 9),,,,,,,,,
Pohang University of Science and Technology,06-Aug,,0,0,7.1,11.1,30.6,32.6,
Polytechnic University of Valencia,05-Aug,,0,0,10.4,12.2,33.4,15.2,
Queen's University Belfast,,,18.2,0,0,10.9,32.4,18,
Saint Petersburg State University,2,,27.3,0,0,6.1,28,16,
San Diego State University,,,0,0,14.3,11.5,25,16.6,
Scuola Normale Superiore - Pisa,09-Dec,,0,0,7.2,7.1,18,58.9,
Shandong University,,,0,0,0,3.6,50.6,14.3,
Sichuan University,,,0,0,0,3.1,50.8,14.1,
South China University of Technology,,,0,0,7.1,5.7,37.6,14.2,
Southeast University,,,0,0,8.7,7.5,40.2,14.9,
SUNY at Albany,,,0,0,13.1,7.2,26.3,18.2,
Swinburne University of Technology,Oct-18,,0,0,11.3,13.1,21.4,22.4,
Technical University of Berlin,,,16.6,0,7.8,6.6,29.4,15.9,
Temple University,,,0,0,13.3,7.1,33.4,12.2,
The Hong Kong Polytechnic University,5,,0,0,11.3,3.8,39.8,19,
The University of Montana - Missoula,,,5.3,0,15.9,15,16,17.3,
"The University of Newcastle, Australia",,,,,,,,,
The University of Reading,,,0,0,14.3,10.8,28.9,19.7,
The University of Texas at Dallas,,,0,0,10.1,11.5,27.5,21.5,
The University of Texas Health Science Center at San Antonio,,,0,0,20.1,9.5,27.7,15.6,
Thomas Jefferson University,,,0,0,8.9,8.8,27.7,27.9,
The University of Tokushima,,,,,,,,,
Tokyo Medical and Dental University,Nov-14,,0,0,8.6,11.4,24.2,24.5,
Tongji University,,,0,0,0,7.9,43.2,14.4,
Tulane University,,,0,0,12.2,8.4,26.6,14.9,
UNESP,02-May,,0,0,0,7.9,43.9,20.7,
University of Antwerp,06-Jul,,0,0,5.1,11,35.8,26.5,
University of Belgrade,1,,0,0,0,2.2,44.9,20.9,
University of Campinas,02-May,,0,0,3.6,4.6,42.6,20,
University of Central Florida,,,0,0,13.6,10.8,29.3,16.6,
University of Colorado at Denver,,,0,0,15.9,8.3,33.2,12.1,
University of Connecticut,,,11.8,0,8,7.8,34.6,13,
