Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Das, Siddhartha C.",30,2017,206,6.9,1.07,23.0,55605761916,http://www.scopus.com/authid/detail.url?authorId=55605761916
"Ganguly, Mainak",30,2015,469,15.6,2.08,13.0,54408354000,http://www.scopus.com/authid/detail.url?authorId=54408354000
"Ghosh, Sudip Kumar Umar",30,2015,611,20.4,1.99,48.0,7404806589,http://www.scopus.com/authid/detail.url?authorId=7404806589
"Govind Rao, Vishal",30,2015,443,14.8,1.24,16.0,55217727600,http://www.scopus.com/authid/detail.url?authorId=55217727600
"Majumdar, Jyotsna Dutta",30,2016,107,3.6,0.58,15.0,7003928767,http://www.scopus.com/authid/detail.url?authorId=7003928767
"Mitra, Pabitra",30,2017,61,2.0,0.81,6.0,55908525400,http://www.scopus.com/authid/detail.url?authorId=55908525400
"Panda, Jaya Kumar",30,2016,32,1.1,0.31,3.0,55065625700,http://www.scopus.com/authid/detail.url?authorId=55065625700
"Banerjee, Swapna K.",29,2016,43,1.5,0.65,10.0,7404544979,http://www.scopus.com/authid/detail.url?authorId=7404544979
"Basu, Anupam",29,2016,17,0.6,0.16,10.0,7402166595,http://www.scopus.com/authid/detail.url?authorId=7402166595
"Bhattacharya, Baidurya",29,2016,105,3.6,0.80,12.0,7102753429,http://www.scopus.com/authid/detail.url?authorId=7102753429
"Biswas, Koushik",29,2016,141,4.9,0.56,14.0,14010481600,http://www.scopus.com/authid/detail.url?authorId=14010481600
"Majumdar, Arun Kumar",29,2016,62,2.1,0.58,11.0,36765250600,http://www.scopus.com/authid/detail.url?authorId=36765250600
"Mohanty, A. R.",29,2017,114,3.9,0.80,17.0,7102044449,http://www.scopus.com/authid/detail.url?authorId=7102044449
"Mondal, Chanchal",29,2015,442,15.2,2.07,12.0,55640394100,http://www.scopus.com/authid/detail.url?authorId=55640394100
"Ray, Debashis K.",29,2017,201,6.9,1.36,22.0,7202180663,http://www.scopus.com/authid/detail.url?authorId=7202180663
"Sahoo, Trilochan",29,2017,110,3.8,1.13,12.0,7004215371,http://www.scopus.com/authid/detail.url?authorId=7004215371
"Sheet, Debdoot",29,2016,54,1.9,0.79,5.0,27467920100,http://www.scopus.com/authid/detail.url?authorId=27467920100
"Singh, Satya Pratap",29,2016,41,1.4,0.30,6.0,55814619000,http://www.scopus.com/authid/detail.url?authorId=55814619000
"Bhattacharyya, Souvik",28,2016,139,5.0,0.72,20.0,7402157417,http://www.scopus.com/authid/detail.url?authorId=7402157417
"Chandra, Amreesh",28,2017,228,8.1,2.70,14.0,7201668844,http://www.scopus.com/authid/detail.url?authorId=7201668844
"Devi, Kiran Sanjana P",28,2016,510,18.2,2.09,14.0,25930765500,http://www.scopus.com/authid/detail.url?authorId=25930765500
"Ghosh, Debasis",28,2016,451,16.1,2.30,13.0,56370611300,http://www.scopus.com/authid/detail.url?authorId=56370611300
"Maiti, Jhareswar",28,2017,246,8.8,1.36,16.0,6603146128,http://www.scopus.com/authid/detail.url?authorId=6603146128
