University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
National University of Ireland Galway,243,42,28.4,,45.1,73.5,89.8,66.2
University of Massachusetts Amherst,249,41.5,51.9,63.1,,,,
Chulalongkorn University,245,41.8,74.5,,48.1,,,
RMIT University,247,41.6,43.8,23,74.8,,100,84.4
SOAS University of London,296,37.8,33.7,,,43.1,100,100
University of East Anglia (UEA),274,39.5,,49.8,,43.4,82.1,82.7
University of Miami,252,41.2,,46.5,,85.8,,46.9
Beijing Normal University,256,40.6,49.3,44.5,,32,33.3,
Saint Petersburg State University,240,42.5,42.4,,35.2,97.7,,28.6
Norwegian University of Science And Technology,259,40.5,36.4,43.9,47.9,38.4,72,
Université de Strasbourg,303,37.5,57.4,27.9,,,35.7,50.9
University of Surrey,272,39.6,29.4,47.8,35.6,,95.7,99.1
Université Paris Diderot - Paris 7,305,37.3,53.7,38.1,,,21.3,56.5
Universität Stuttgart,259,40.5,36.2,48.8,71.7,,35,62
Universität Frankfurt am Main,254,40.9,58.5,,58.4,,,38.3
University of Gothenburg,283,38.6,43.5,32.9,,45.8,39.5,33.2
Kyung Hee University,256,40.6,34.7,,61.6,71.4,,28.3
Ecole Normale Supérieure de Cachan,330,35.4,,31.6,,85,27.5,32
Ecole des Ponts ParisTech,270,39.8,,,82.5,93,,99.7
Universidad Nacional de Colombia,254,40.9,72,,82.7,,,
Universiti Putra Malaysia (UPM),229,43.6,49,,34.4,56,43,73
"University of California, Riverside",323,35.7,,77.9,35.4,,76.5,
Universidad de los Andes,256,40.6,66,,77.2,,30.9,
Friedrich-Alexander-Universität Erlangen-Nürnberg,287,38.4,28.9,97.3,40.2,,23.9,27.4
University of Strathclyde,277,39.2,30.4,32.6,63.9,29,87.6,77.7
Wuhan University,282,38.8,43.9,37.5,57.9,,52.7,
Queensland University of Technology (QUT),247,41.6,46.7,36.8,63,,97.2,42.9
North Carolina State University,263,40.3,41.3,46.7,,36,60.8,40
Harbin Institute of Technology,325,35.6,,60,,50.3,,
Hong Kong Baptist University,299,37.7,,52.6,,35.6,100,86.3
Universidad Carlos III de Madrid (UC3M),281,38.9,37.6,,64.9,68.3,34.4,
"Birkbeck, University of London",308,36.9,,61.7,,25.9,97.3,99.1
Linköping University,287,38.4,27.3,30.4,44.4,70.2,39,
Mahidol University,334,35.1,46.4,,,58,,
Universitat Pompeu Fabra,296,37.8,37.8,47.7,36.3,,74.8,31.6
University College Cork,283,38.6,37.8,36.7,47.7,,94.8,34.9
King Abdulaziz University (KAU),267,40.1,31.1,,,67.5,98.9,66
Dalhousie University,279,39.1,,68.5,,,100,72.3
University of South Australia,279,39.1,32,41.9,36.4,29.4,100,65.7
Universiti Teknologi Malaysia,253,41.1,32.8,,38.9,85.9,35.2,51.4
University of St.Gallen (HSG),372,32.8,,34.9,93.7,,100,95.9
Indiana University Bloomington,304,37.4,53.5,,41.6,,37.6,26.1
University of Ottawa,289,38.3,32.6,66,36,,85.1,52.1
Novosibirsk State University,250,41.3,37.6,,43.6,82.4,,56.3
Westfälische Wilhelms-Universität Münster,308,36.9,42,22.2,50.9,43.5,24.6,
Umea University,338,34.8,,23.4,,79.9,29,
"University of California, Santa Cruz",301,37.6,30.6,94.4,,,24.2,
Sun Yat-sen University,319,35.9,42.4,31,49.4,28.6,30.6,
Hiroshima University,322,35.8,31.4,,,83.8,,
Universität Innsbruck,286,38.5,29.1,,47.6,42.6,97.9,99.1
Boston College,339,34.7,29.9,43.4,38.2,,94.8,
Rutgers University - New Brunswick,283,38.6,49.1,32,,35.2,26.3,26.4
Charles University,314,36.3,48.5,,40.6,37.1,,45.2
Universiti Kebangsaan Malaysia (UKM),230,43.4,49.6,,35.1,66.5,44.7,39.9
Indian Institute of Technology Kanpur (IITK),293,37.9,38.8,73.2,43.8,,,
Politecnico di Torino,307,37,36,63.8,71.1,,,38.1
Curtin University,262,40.4,38.7,35,49.1,,100,64.7
Bauman Moscow State Technical University,291,38.2,28,,60.2,99.9,,
Universidad Austral,331,35.3,28.8,,51.2,86.4,,
National Yang Ming University,329,35.5,,37.4,,99.8,,
National Taiwan Normal University,289,38.3,36.7,,,73,,86
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),364,33,,,66.9,76.9,,
Rensselaer Polytechnic Institute,364,33,,78.2,,,26.4,47.7
Indian Institute of Technology Kharagpur (IIT-KGP),308,36.9,31.4,81.8,49.5,,,
"City, University of London",343,34.2,,37.5,48,,98.2,100
Nankai University,344,34,32.6,58.6,,30.1,19.5,
Tongji University,316,36.2,36.1,43.8,,,83.2,24.2
Université de Liège,319,35.9,,78.6,33.9,,,63.8
Xi’an Jiaotong University,344,34,29.1,38.5,,48.5,28.9,
Tampere University of Technology,380,32.1,,24.7,,84.8,34.8,
Ben Gurion University of The Negev,352,33.5,,49.2,,,77.1,42.4
Universidade Federal do Rio de Janeiro,311,36.7,67.1,,,,,
Universitat Politècnica de Catalunya,275,39.4,42.4,22.3,49.1,55,,30.7
University of Porto,301,37.6,45.6,52.8,49.3,,,
University of Waikato,292,38.1,,64.4,,,97.3,79.7
Universitas Indonesia,277,39.2,48.1,,60.1,44.3,87.1,
University of Victoria,346,33.9,,74.4,,,82.5,46.1
Université de Montpellier,381,32,36.4,42.3,43.5,,,38.4
Heriot-Watt University,312,36.6,,37.5,46.8,32.9,95.4,98.9
Tokyo Medical and Dental University (TMDU),367,32.9,,23.9,,100,,
University of Lisbon,305,37.3,47.4,37.5,61,,,32.1
Universiti Sains Malaysia (USM),264,40.2,48.2,,43.8,46.7,27.2,27.5
Tilburg University,357,33.3,,74.5,,,82.8,40.5
University of Essex,352,33.5,,29.9,,,99.9,99.8
The Katz School at Yeshiva University,325,35.6,,65.9,,96.3,,24.2
Ewha Womans University,299,37.7,29.8,,,83.6,,45.4
Griffith University,325,35.6,33.6,40.2,35.8,,98.2,57.5
Gwangju Institute of Science and Technology (GIST),339,34.7,,100,,37.6,,
Università di Padova,296,37.8,58,39.6,38.8,,,
University of Jyväskylä,357,33.3,,,,80.8,42.4,
Massey University,316,36.2,37.2,,35.6,,96.8,86.6
James Cook University,367,32.9,,56.8,,,91.5,96.2
University at Buffalo SUNY,318,36.1,,73.3,,,82.9,63.2
Lincoln University,319,35.9,,33.3,,68.5,95.4,93.2
University of Hawai'i at Mañoa,341,34.6,,46.2,,56.5,62.2,22.9
Brunel University London,346,33.9,,49.8,,,97.3,99.3
L.N. Gumilyov Eurasian National University (ENU),336,35,,,35.7,98.2,31.7,
University of Cologne,331,35.3,43.8,,62.4,33.4,26.7,21.3
University of Tartu,314,36.3,28.5,,37.9,79.2,,
University Ulm,357,33.3,,51.2,,63.7,50.9,34.1
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),355,33.4,,,,98.3,23.7,33.5
Moscow State Institute of International Relations (MGIMO University),373,32.5,,,36.9,99.2,,50.1
Universität Konstanz,385,31.5,31.3,,,38.7,56.1,32.9
Universidad de Belgrano,337,34.9,,,47.5,91,,86.5
Belarusian State University,334,35.1,28.3,,,92.3,,25.5
Deakin University,293,37.9,39.9,38.9,48.9,,96.1,59.6
Université Paris Dauphine,355,33.4,28.8,,75.2,30.7,45.6,80.9
Aston University,373,32.5,,40.2,54.1,,95.8,87.2
University of the Witwatersrand,364,33,34.7,33.7,43.6,,88.3,
Oxford Brookes University,361,33.1,30.3,,75.6,,65.5,83.9
Virginia Polytechnic Institute and State University,367,32.9,33.2,44.1,40.4,,19.8,23.4
Northeastern University,346,33.9,,40.1,35.1,25.2,71.8,96.5
George Washington University,352,33.5,35.3,33.8,37,,36.4,47.8
Universität Jena,341,34.6,,,,87.6,,30.3
The American University in Cairo,395,30.7,31,,49.3,37.1,90.7,
University of Warsaw,,,43.7,,34.1,29.1,,
Universidade Nova de Lisboa,361,33.1,34.6,,60.9,35.4,,23.5
University of Kent,373,32.5,,24.5,,30.8,97.6,89.5
Universiti Brunei Darussalam (UBD),349,33.8,,,,92.5,100,64.7
Kobe University,351,33.6,33.8,,36.8,61.8,,
University of Milan,325,35.6,52.9,41.1,36.4,,,
University of Tasmania,313,36.5,,46.2,,31.2,97.3,90.1
Laval University,378,32.4,31.3,30.8,,27.8,67.1,32.9
University of Kansas,386,31.3,,,,78.2,,
University of the Philippines,367,32.9,46,,56.6,40.7,,
Aalborg University,379,32.2,,26.9,47.3,31.9,74.3,42.8
"University of Colorado, Denver",394,30.8,,,,100,,
Université Paris Descartes,,,28.9,43.4,,,,25.1
Tomsk State University,323,35.7,,,,94,22.2,69.4
