Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Nityananda, Rajaram",1753,Indian Institute of Science Education & Research (IISER) - Pune,2,0.56,11,100.0
"Ghosh, Basudev",1753,Jadavpur University,2,0.32,11,100.0
"Singh, K. K.",1753,Bhabha Atomic Research Center,5,0.21,11,100.0
"Gupta, Neeraj",1753,Tata Institute of Fundamental Research,1,0.34,11,100.0
"Shanmugam, M.",1753,Physical Research Laboratory - India,4,0.33,11,100.0
"Chakraborty, Abhijit",1753,Physical Research Laboratory - India,3,0.32,11,66.67
"Buch, Jatan",1753,Indian Institute of Technology (IIT) - Kharagpur,1,1.68,11,100.0
"Paranjape, Aseem",1753,Inter-University Centre for Astronomy & Astrophysics,1,1.53,11,100.0
"Dhuria, Mansi",1753,Indian Institute of Technology (IIT) - Roorkee,2,0.41,11,100.0
"Fonseca, M. V.",1753,Saha Institute of Nuclear Physics,1,1.53,11,100.0
"Chandra, Swarniv",1753,Jadavpur University,2,0.32,11,100.0
"Deb, D.",1753,Assam University,3,0.21,11,100.0
"Singh, Nishant K.",1753,Inter-University Centre for Astronomy & Astrophysics,3,0.37,11,66.67
"Konar, Sushan",1753,Tata Institute of Fundamental Research,2,0.56,11,100.0
"Chakraborty, Sumanta",1753,University of Calcutta,1,1.07,11,100.0
"Mukerjee, K.",1753,Tata Institute of Fundamental Research,1,0.58,11,100.0
"Chatterjee, Piyali",1753,Indian Institute of Science (IISC) - Bangalore,2,0.31,11,50.0
"Hanasoge, Shravan M.",1753,Tata Institute of Fundamental Research,3,0.32,11,66.67
"Barrio, J. A.",1753,Saha Institute of Nuclear Physics,1,1.53,11,100.0
"Dwivedi, Navin Kumar",1753,Indian Institute of Technology (IIT) - Delhi,4,0.14,11,100.0
"Singh, S. Surendra",1753,Manipur University,5,0.1,11,80.0
"Varma, K. V. Prasantha",1753,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,1,0.84,11,100.0
"Tandon, Poonam",1753,Lucknow University,4,0.22,11,100.0
"Sengupta, S.",1753,Indian Institute of Astrophysics,1,0.43,11,100.0
"Bonnefoy, S.",1753,Saha Institute of Nuclear Physics,1,1.53,11,100.0
"Archana, K. N.",1753,University of Kerala,1,1.53,11,100.0
"Dhurandhar, Sanjeev V.",1753,Inter-University Centre for Astronomy & Astrophysics,1,0.39,11,100.0
"Chakraborty, Sagar",1753,SN Bose National Centre for Basic Science,1,0.61,11,100.0
"Ghosh, Shubhrangshu",1753,Indian Institute of Science (IISC) - Bangalore,2,0.22,11,100.0
"Ghosh, Shubhrangshu",1753,Indian Institute of Astrophysics,2,0.22,11,100.0
"Rawat, R.",1753,Indian Institute of Geomagnetism,3,0.23,11,66.67
"Arivazhagan, S.",1753,Periyar University,2,0.22,11,100.0
"Sarkar, Anjishnu",1753,Indian Institute of Technology (IIT) - Bombay,2,0.28,11,100.0
"Tayade, G. B.",1753,Sant Gadge Baba Amravati University,1,1.53,11,100.0
"Singh, O. N., II",1753,Banaras Hindu University,3,0.29,11,100.0
"Karmakar, Purnendu",1753,Indian Institute of Technology (IIT) - Kanpur,3,0.22,11,100.0
"Basu, B.",1753,Indian Statistical Institute Kolkata,5,0.19,11,80.0
"Das, Siba Prasad",1753,Institute of Physics Bhubaneswar (IOPB),1,1.07,11,100.0
"Contreras, J. L.",1753,Saha Institute of Nuclear Physics,1,1.53,11,100.0
"Selvakumar, G.",1753,Indian Institute of Astrophysics,3,0.17,11,100.0
"Kothari, Rahul",1753,Indian Institute of Technology (IIT) - Kanpur,1,1.68,11,100.0
"Shah, G. N.",1753,Bhabha Atomic Research Center,2,0.27,11,100.0
"Mukherjee, Arunava",1753,Inter-University Centre for Astronomy & Astrophysics,2,0.53,11,100.0
"Anbazhagan, S.",1753,Periyar University,2,0.22,11,100.0
"Sharma, R. K.",1753,Vikram Sarabhai Space Center (VSSC),2,0.29,11,100.0
"Tripathi, Shruti",1753,University of Gorakhpur,1,0.51,11,100.0
"Singh, Ravindra P.",1753,Physical Research Laboratory - India,2,0.58,11,100.0
"Madhu, Kallingalthodi",1753,Tata Institute of Fundamental Research,1,0.53,11,100.0
"Mohan, P.",1753,Aryabhatta Research Institute of Observational Sciences,2,0.77,11,100.0
"Saha, Kanak",1753,Inter-University Centre for Astronomy & Astrophysics,3,0.37,11,100.0
"Sabarinath, A.",1753,Vikram Sarabhai Space Center (VSSC),2,0.21,11,100.0
"Medhi, B. J.",1753,Aryabhatta Research Institute of Observational Sciences,3,0.22,11,66.67
"Vaghmare, K.",1753,Inter-University Centre for Astronomy & Astrophysics,2,0.43,11,100.0
"Patra, Sankar Narayan",1753,University of Burdwan,3,0.15,11,100.0
"Naskar, Abhishek",1753,Indian Institute of Technology (IIT) - Kanpur,1,1.68,11,100.0
"Anantharamaiah, K. R.",1852,Raman Research Institute,2,0.19,10,100.0
"Ghara, Raghunath",1852,Tata Institute of Fundamental Research,1,1.39,10,100.0
"Kamble, Atish",1852,Raman Research Institute,1,0.4,10,100.0
"Verma, Ravikant",1852,University of Hyderabad,2,0.47,10,100.0
"Panwar, V.",1852,Council of Scientific & Industrial Research (CSIR) - India,1,0.5,10,100.0
"Panwar, V.",1852,National Physics Laboratory - India,1,0.5,10,100.0
"Sharma, S. S.",1852,Chaudhary Charan Singh University,1,0.4,10,100.0
"Babu, K. Shobhan",1852,Jawaharlal Nehru Technological University - Kakinada,1,0.65,10,100.0
"Farooq, S.",1852,Aligarh Muslim University,1,1.22,10,100.0
"Mitra, Arpan Krishna",1852,SN Bose National Centre for Basic Science,1,0.97,10,100.0
"Nandi, S.",1852,Kumaun University,2,0.33,10,100.0
"Pandey, B.",1852,Kumaun University,1,0.53,10,100.0
"Rao, P. Vivekananda",1852,Osmania University,3,0.18,10,100.0
"Das, Amit",1852,Indian Institute of Engineering Science Technology Shibpur (IIEST),1,1.39,10,100.0
"Sahu, Pradip K.",1852,Institute of Physics Bhubaneswar (IOPB),1,0.58,10,100.0
"Suresh, Rahul",1852,National Institute of Technology Karnataka,1,0.41,10,100.0
"Sancheti, M. M.",1852,Sant Gadge Baba Amravati University,1,0.53,10,100.0
"Kumar, Dewangan Lokesh",1852,Physical Research Laboratory - India,1,0.41,10,100.0
"Agrawal, Vivek Kumar",1852,Tata Institute of Fundamental Research,1,0.4,10,100.0
"Patra, A. K.",1852,Indian Institute of Geomagnetism,1,0.53,10,100.0
"Biswas, Anirban",1852,Saha Institute of Nuclear Physics,1,0.76,10,100.0
"Mehta, Poonam",1852,Raman Research Institute,1,0.58,10,100.0
"Dey, Dipanjan",1852,Indian Institute of Technology (IIT) - Kanpur,3,0.29,10,100.0
"Divakaran, Uma",1852,Indian Institute of Technology (IIT) - Kanpur,1,0.86,10,100.0
"Chopra, Parvati",1852,Council of Scientific & Industrial Research (CSIR) - India,1,0.38,10,100.0
"Chopra, Parvati",1852,National Physics Laboratory - India,1,0.38,10,100.0
"Hanasoge, S.",1852,Tata Institute of Fundamental Research,2,0.54,10,100.0
"Panwar, Neelam",1852,University of Delhi,1,0.86,10,100.0
"Rao, V. R.",1852,India Meteorological Department (IMD),1,0.5,10,100.0
"Maheshwari, N.",1852,Indian Institute of Technology (IIT) - Bombay,1,0.86,10,100.0
"Parekh, Viral",1852,Raman Research Institute,1,1.39,10,100.0
"Sharma, A. K.",1852,Shivaji University,6,0.2,10,66.67
"Roy, A. L.",1852,Raman Research Institute,2,0.19,10,100.0
"Rentala, Vikram",1852,Jawaharlal Nehru University,1,1.53,10,100.0
"Uma, K. N.",1852,Vikram Sarabhai Space Center (VSSC),2,0.34,10,100.0
"Guha, B. K.",1852,Indian Institute of Engineering Science Technology Shibpur (IIEST),1,1.39,10,100.0
"Chaitanya, P. P.",1852,Sri Venkateswara University,1,0.65,10,100.0
"Iyer, N.",1852,Indian Institute of Science (IISC) - Bangalore,2,0.7,10,100.0
"Devi, M.",1852,Gauhati University,1,0.43,10,100.0
"Anusha, J. L. S.",1852,Indian Institute of Astrophysics,1,0.47,10,100.0
"Yadav, V.",1852,Indian Institute of Geomagnetism,3,0.37,10,100.0
"Tiwari, Bhupendra Nath",1852,Indian Institute of Technology (IIT) - Kanpur,1,0.51,10,100.0
"Pandey, Shashi Bhushan",1852,Aryabhatta Research Institute of Observational Sciences,1,0.53,10,100.0
"Pramanick, Soumita",1852,University of Calcutta,2,0.56,10,100.0
"Gaur, Haritma",1852,Inter-University Centre for Astronomy & Astrophysics,1,0.86,10,100.0
"Reddy, D. Sudheer",1852,Vikram Sarabhai Space Center (VSSC),1,0.38,10,100.0
"Siwach, Sanjay",1852,Banaras Hindu University,3,0.29,10,100.0
"Aggarwal, Rajiv",1852,University of Delhi,8,0.09,10,75.0
"St-Maurice, J. -P.",1852,Vikram Sarabhai Space Center (VSSC),1,0.47,10,100.0
"Narain, Udit",1852,Inter-University Centre for Astronomy & Astrophysics,1,0.4,10,100.0
"Agarwalla, S. K.",1852,Institute of Physics Bhubaneswar (IOPB),1,0.97,10,100.0
"Banerjee, Arunima",1852,Tata Institute of Fundamental Research,3,0.22,10,100.0
"Subramanian, S. Prasanna",1852,Madurai Kamaraj University,3,0.27,10,100.0
"Yadav, Virendra",1852,Indian Institute of Geomagnetism,4,0.18,10,75.0
"Goel, A.",1852,University of Delhi,1,0.5,10,100.0
"Narlikar, Jayant V.",1852,Inter-University Centre for Astronomy & Astrophysics,2,0.25,10,100.0
"Patra, Monalisa",1852,Indian Institute of Science (IISC) - Bangalore,1,0.76,10,100.0
"Saxena, R. K.",1852,Jai Narain Vyas University Jodhpur,1,0.34,10,100.0
"Bag, Satadru",1852,Inter-University Centre for Astronomy & Astrophysics,1,0.97,10,100.0
"Govil, H.",1852,Aligarh Muslim University,1,1.22,10,100.0
"Bhattacharyya, Bhaswati",1852,Tata Institute of Fundamental Research,2,0.2,10,100.0
"Mittal, Nishant",1852,Inter-University Centre for Astronomy & Astrophysics,1,0.4,10,100.0
"Chakravarty, Girish Kumar",1852,Physical Research Laboratory - India,2,0.65,10,100.0
"Chandola, Y.",1852,Tata Institute of Fundamental Research,1,0.41,10,100.0
"Manikandan, J.",1852,National Institute Technology Tiruchirappalli,1,0.58,10,100.0
"Chowdhury, Debanjan",1852,Indian Institute of Technology (IIT) - Kanpur,1,0.86,10,100.0
"Lal, Dharam V.",1852,Indian Institute of Science (IISC) - Bangalore,1,0.47,10,100.0
"Lal, Dharam V.",1852,Indian Institute of Astrophysics,1,0.47,10,100.0
"Murty, Sripada V. S.",1852,Physical Research Laboratory - India,2,0.46,10,100.0
"Ray, Arnab K.",1852,Tata Institute of Fundamental Research,2,0.2,10,100.0
"Gupta, A.",1852,Tata Institute of Fundamental Research,4,0.28,10,100.0
"Pandey, Kumud",1852,Chaudhary Charan Singh University,1,0.4,10,100.0
"Bora, Kalpana",1852,Gauhati University,1,0.58,10,100.0
"Chakraborty, D. K.",1852,Pt. Ravishankar Shukla University,3,0.14,10,100.0
"Dutta, Amit",1852,Indian Institute of Technology (IIT) - Kanpur,1,0.86,10,100.0
"Srivastava, Mudit K.",1852,Inter-University Centre for Astronomy & Astrophysics,3,0.13,10,100.0
"Choudhury, S. Rai",1852,Indian Institute of Science Education & Research (IISER) - Bhopal,1,0.51,10,100.0
"Namboodiri, N. I. Vishnu",1852,Vikram Sarabhai Space Center (VSSC),1,0.38,10,100.0
"Das, Biswaranjan",1852,Indian Institute of Technology (IIT),1,0.97,10,100.0
"Aluri, Pavan Kumar",1852,Indian Institute of Technology (IIT) - Kanpur,1,0.78,10,100.0
"Padmanabhan, Hamsa",1852,University of Pune,2,0.28,10,100.0
"Saha, K.",1933,Indian Institute of Science (IISC) - Bangalore,1,0.34,9,100.0
"Saha, K.",1933,Raman Research Institute,1,0.34,9,100.0
"Chakravarty, Nabajit",1933,Indian Association for the Cultivation of Science,1,0.4,9,100.0
"Chakravarty, Nabajit",1933,India Meteorological Department (IMD),1,0.4,9,100.0
"Chakravarty, Nabajit",1933,Indian Association for the Cultivation of Science (IACS) - Jadavpur,1,0.4,9,100.0
"Caputa, Pawel",1933,Tata Institute of Fundamental Research,1,0.75,9,100.0
"Wallden, Petros",1933,Raman Research Institute,1,0.46,9,100.0
"Varatharajan, Indhu",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Ravikumar, D.",1933,University of Calicut,1,1.25,9,100.0
"Ghodpage, R. N.",1933,Indian Institute of Geomagnetism,4,0.3,9,75.0
"Karthikeyan, S.",1933,Tata Institute of Fundamental Research,1,0.44,9,100.0
"Parihar, N.",1933,Indian Institute of Geomagnetism,4,0.21,9,75.0
"Omkar, S. N.",1933,Indian Institute of Science (IISC) - Bangalore,1,0.61,9,100.0
"Tickoo, A. K.",1933,Bhabha Atomic Research Center,4,0.22,9,100.0
"Beri, Aru",1933,Indian Institute of Technology (IIT) - Ropar,2,0.44,9,100.0
"Raveendran, A. V.",1933,Indian Institute of Astrophysics,2,0.18,9,100.0
"Sivaraman, K. R.",1933,Indian Institute of Astrophysics,2,0.18,9,100.0
"Raghuram, S.",1933,Vikram Sarabhai Space Center (VSSC),1,1.25,9,100.0
"Nandy, D. K.",1933,Physical Research Laboratory - India,4,0.26,9,100.0
"Hazra, Soumitra",1933,Indian Institute of Science Education & Research (IISER) - Kolkata,2,0.42,9,100.0
"Chakraborty, A.",1933,Assam University,2,0.32,9,100.0
"Sriram, K.",1933,Osmania University,1,0.36,9,100.0
"Wadadekar, Yogesh G.",1933,Tata Institute of Fundamental Research,1,0.47,9,100.0
"Naskar, Tapan",1933,Inter-University Centre for Astronomy & Astrophysics,1,0.4,9,100.0
"Gulati, Mamta",1933,Indian Institute of Science (IISC) - Bangalore,2,0.22,9,100.0
"Gulati, Mamta",1933,Raman Research Institute,2,0.22,9,100.0
"Prakash, S.",1933,Physical Research Laboratory - India,1,0.36,9,100.0
"Ninawe, Yogesh",1933,Council of Scientific & Industrial Research (CSIR) - India,1,0.34,9,100.0
"Ninawe, Yogesh",1933,National Physics Laboratory - India,1,0.34,9,100.0
"Bajpai, Shivesh",1933,Indian Institute of Technology (Indian School of Mines) Dhanbad,1,0.61,9,100.0
"Pathan, F. M.",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Chakraborty, Amit",1933,Tata Institute of Fundamental Research,1,1.38,9,100.0
"Yadav, Nitin",1933,Indian Institute of Technology (IIT) - Delhi,5,0.19,9,100.0
"Lal, A. K.",1933,Thapar University,6,0.08,9,66.67
"Sarma, A. D.",1933,Osmania University,2,0.24,9,100.0
"Singh, K. Yugindro",1933,Manipur University,8,0.07,9,62.5
"Sajin, P.",1933,Indian Institute of Technology (IIT) - Roorkee,1,0.39,9,100.0
"Senthilnath, J.",1933,Indian Institute of Science (IISC) - Bangalore,1,0.61,9,100.0
"Ghosh, Avirup",1933,Saha Institute of Nuclear Physics,3,0.31,9,66.67
"Kumar, N.",1933,Raman Research Institute,1,0.4,9,100.0
"Das, Kanika",1933,Gauhati University,3,0.42,9,100.0
"Srivastava, Neeraj",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Mani, V.",1933,Indian Institute of Science (IISC) - Bangalore,1,0.61,9,100.0
"Banerjee, Indrani",1933,Indian Institute of Science (IISC) - Bangalore,3,0.22,9,100.0
"Kumar, Sarvan",1933,Banaras Hindu University,1,0.61,9,100.0
"Mukherjee, Pradip",1933,SN Bose National Centre for Basic Science,1,0.53,9,100.0
"Pandit, Rahul",1933,Indian Institute of Science (IISC) - Bangalore,2,0.6,9,100.0
"Pandit, Rahul",1933,Jawaharlal Nehru Center for Advanced Scientific Research,2,0.6,9,100.0
"Pandit, Rahul",1933,Council of Scientific & Industrial Research (CSIR) - India,2,0.6,9,100.0
"Prasad, Vinod",1933,University of Gorakhpur,3,0.19,9,66.67
"Basak, Tamal",1933,SN Bose National Centre for Basic Science,1,0.58,9,100.0
"Chandra, Sunil",1933,Physical Research Laboratory - India,2,0.3,9,100.0
"Patel, Manoj K.",1933,University of Gorakhpur,2,0.29,9,100.0
"Shah, Vishal",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Sinha, Rita",1933,Inter-University Centre for Astronomy & Astrophysics,1,0.47,9,100.0
"Goyal, S. K.",1933,Physical Research Laboratory - India,3,0.35,9,100.0
"Mudholkar, Tanmay",1933,Indian Institute of Technology (IIT) - Kanpur,1,0.69,9,100.0
"Kulkarni, Gauri",1933,Inter-University Centre for Astronomy & Astrophysics,1,0.42,9,100.0
"Baliyan, Kiran S.",1933,Physical Research Laboratory - India,2,0.3,9,100.0
"John, Sherine Rachel",1933,Vikram Sarabhai Space Center (VSSC),3,0.16,9,66.67
"Rosario, M. J.",1933,Indian Institute of Astrophysics,2,0.18,9,100.0
"Mustajab, F.",1933,Aligarh Muslim University,1,0.42,9,100.0
"Aghamousa, Amir",1933,University of Pune,2,0.28,9,100.0
"Choudhuri, Samir",1933,Indian Institute of Technology (IIT) - Kharagpur,1,0.78,9,100.0
"Aluri, Pavan K.",1933,Indian Institute of Science Education & Research (IISER) - Bhopal,1,0.69,9,100.0
"Dutt, Pooja",1933,Vikram Sarabhai Space Center (VSSC),3,0.19,9,100.0
"Kumar, Parveen",1933,Aryabhatta Research Institute of Observational Sciences,2,0.49,9,100.0
"Joshi, A. D.",1933,Physical Research Laboratory - India,1,0.37,9,100.0
"Tulasiram, S.",1933,Indian Institute of Geomagnetism,1,0.77,9,100.0
"Sahoo, B. K.",1933,Physical Research Laboratory - India,4,0.26,9,100.0
"Goswami, U. D.",1933,Dibrugarh University,2,0.28,9,100.0
"Mekkaden, M. V.",1933,Indian Institute of Astrophysics,2,0.18,9,100.0
"Dongre, Varun",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Ghosh, Mithun",1933,University of North Bengal,2,0.97,9,100.0
"Sarkar, Anjishnu",1933,Institute of Physics Bhubaneswar (IOPB),2,0.27,9,100.0
"Bhadoria, Shikha",1933,University of Delhi,1,0.78,9,100.0
"Mishra, S. K.",1933,Lucknow University,1,0.47,9,100.0
"Ramkumar, G.",1933,Vikram Sarabhai Space Center (VSSC),2,0.33,9,100.0
"Kusuma, K. N.",1933,Physical Research Laboratory - India,1,0.47,9,100.0
"Dutta, Jayanta",1933,Indian Institute of Science (IISC) - Bangalore,1,0.37,9,100.0
"Reddy, C. D.",1933,Indian Institute of Geomagnetism,1,1.25,9,100.0
"Sebastian, N.",1933,Physical Research Laboratory - India,1,0.47,9,100.0
"Bhattacharya, Gautam",1933,University of Burdwan,2,0.18,9,100.0
"Khamesra, Bhavesh",1933,Indian Institute of Science Education & Research (IISER) - Pune,2,0.34,9,50.0
"Mittal, A.",1933,Indian Institute of Technology (IIT) - Roorkee,1,0.39,9,100.0
"Gautam, R. S.",1933,Indian Institute of Technology (IIT) - Roorkee,1,0.39,9,100.0
"Ray, Arnab K.",1933,Inter-University Centre for Astronomy & Astrophysics,1,0.4,9,100.0
"Sodha, M. S.",1933,Lucknow University,1,0.47,9,100.0
"Roy, Ananda",1933,Indian Institute of Technology (IIT) - Kanpur,1,0.46,9,100.0
"Misra, Shikha",1933,Lucknow University,1,0.47,9,100.0
"Chakraborty, W.",1933,University of Calcutta,1,0.37,9,100.0
"Ubale, Girish P.",1933,Physical Research Laboratory - India,1,0.78,9,100.0
"Bhadkamkar, H.",1933,Tata Institute of Fundamental Research,1,0.36,9,100.0
"Sarkar, Geetanjali",1933,Indian Institute of Technology (IIT) - Kanpur,1,0.34,9,100.0
"Bhattacharjee, Jayanta K.",1933,Indian Association for the Cultivation of Science,1,0.4,9,100.0
"Bhattacharjee, Jayanta K.",1933,Indian Association for the Cultivation of Science (IACS) - Jadavpur,1,0.4,9,100.0
"Sandhu, T. S.",1933,Punjabi University,1,0.37,9,100.0
"Gupta, D.",2030,Bose Institute,1,0.46,8,100.0
"Nayak, Alekha C.",2030,Indian Institute of Technology (IIT) - Kanpur,2,0.61,8,100.0
"Bhowmick, Saikat",2030,Jadavpur University,1,0.69,8,100.0
"Kushwaha, Upendra",2030,Indian Institute of Technology (IIT) - Gandhinagar,1,1.12,8,100.0
"Awasthi, Arun Kumar",2030,Physical Research Laboratory - India,2,0.21,8,100.0
"Devassy, Deepthi",2030,University of Calicut,1,0.27,8,100.0
"Sharma, R.",2030,Physical Research Laboratory - India,1,0.3,8,100.0
"Sengupta, Chandreyee",2030,Tata Institute of Fundamental Research,1,0.32,8,100.0
"Chakraborty, Narayan Chandra",2030,Jadavpur University,1,0.37,8,100.0
"Yellaiah, G.",2030,Osmania University,4,0.19,8,100.0
"Nandan, H.",2030,Jamia Millia Islamia,1,0.41,8,100.0
"ChitniS, Varsha R.",2030,Tata Institute of Fundamental Research,1,0.3,8,100.0
"Raju, K. P.",2030,Indian Institute of Astrophysics,4,0.08,8,50.0
"Verma, Ravindra K.",2030,Indian Institute of Technology (IIT) - Kanpur,2,0.61,8,100.0
"Mir, T. A.",2030,Bhabha Atomic Research Center,2,0.26,8,100.0
"Singh, Ashmeet",2030,Indian Institute of Technology (IIT) - Roorkee,1,1.12,8,100.0
"Saha, Rajib",2030,Indian Institute of Science Education & Research (IISER) - Bhopal,1,0.42,8,100.0
"Radhika, D.",2030,University of Calicut,1,0.97,8,100.0
"Krishnan, R.",2030,Indian Institute of Tropical Meteorology (IITM),1,0.3,8,100.0
"Divakaran, Divya",2030,Cochin University Science & Technology,1,0.52,8,100.0
"Kiron, Y. Ravi",2030,Osmania University,2,0.2,8,100.0
"Chakrabarti, Sayan K.",2030,Saha Institute of Nuclear Physics,2,0.25,8,100.0
"Choudhury, Sayantan",2030,Tata Institute of Fundamental Research,1,1.33,8,100.0
"Kumar, Sanjay",2030,Aryabhatta Research Institute of Observational Sciences,1,0.97,8,100.0
"Bhadra, A.",2030,University of North Bengal,2,0.21,8,100.0
"Panditi, Vemareddy",2030,Indian Institute of Astrophysics,1,1.12,8,100.0
"Belapure, Jaydeep",2030,University of Pune,1,0.32,8,100.0
"Ghosh, Gourab Kumar",2030,Jadavpur University,1,0.69,8,100.0
"Majumder, Sonjoy",2030,Indian Institute of Technology (IIT) - Kharagpur,1,0.37,8,100.0
"Mandal, Subhayan",2030,Indian Institute of Technology (IIT) - Kanpur,1,0.39,8,100.0
"Mulay, Sargam M.",2030,Inter-University Centre for Astronomy & Astrophysics,1,0.52,8,100.0
"Nandi, Rana",2030,Saha Institute of Nuclear Physics,2,0.19,8,100.0
"Unnikrishnan, K.",2030,Mahatma Gandhi University,3,0.14,8,66.67
"Manoj, M. G.",2030,Indian Institute of Tropical Meteorology (IITM),1,0.46,8,100.0
"Devara, P. C. S.",2030,Indian Institute of Tropical Meteorology (IITM),1,0.46,8,100.0
"Tandon, Shyam N.",2030,Inter-University Centre for Astronomy & Astrophysics,1,0.32,8,100.0
"Dutt-Mazumder, Abhee K.",2030,Saha Institute of Nuclear Physics,2,0.25,8,100.0
"Prabhudesai, Swapnil M.",2030,Inter-University Centre for Astronomy & Astrophysics,1,0.32,8,100.0
"Bhatt, N.",2030,Bhabha Atomic Research Center,4,0.19,8,75.0
"Subrahmanyam, K. V.",2030,Vikram Sarabhai Space Center (VSSC),2,0.23,8,100.0
"Athiray, P. S.",2030,University of Calicut,3,0.19,8,66.67
"Mazumder, Rakesh",2030,Indian Institute of Science Education & Research (IISER) - Kolkata,1,1.12,8,100.0
"Mazumder, Rakesh",2030,Indian Institute of Astrophysics,1,1.12,8,100.0
"Dey, R. K.",2030,University of North Bengal,2,0.21,8,100.0
"Kumar, K. Kishore",2030,Vikram Sarabhai Space Center (VSSC),3,0.13,8,100.0
"Mallick, Ritam",2030,Indian Institute of Science (IISC) - Bangalore,1,0.37,8,100.0
"Dutta, Narendra Nath",2030,Indian Institute of Technology (IIT) - Kharagpur,1,0.37,8,100.0
"Singh, Raj Laxmi",2030,Physical Research Laboratory - India,2,0.26,8,100.0
"Thakur, Somyadip",2030,Indian Institute of Science (IISC) - Bangalore,1,0.78,8,100.0
"Chowdhury, Debashree",2030,Indian Statistical Institute Kolkata,1,0.78,8,100.0
"Amir, Muhammed",2030,Jamia Millia Islamia,1,0.78,8,100.0
"Gupta, Yashwant",2030,University of Pune,1,0.32,8,100.0
"Baug, T.",2030,Tata Institute of Fundamental Research,2,0.56,8,100.0
"Maulik, A.",2030,Bose Institute,1,0.46,8,100.0
"Hussain, T.",2030,Tezpur University,1,1.12,8,100.0
"Basu, Prasad",2030,Indian Institute of Science (IISC) - Bangalore,1,0.41,8,100.0
"Sinha, Rishitosh K.",2030,Physical Research Laboratory - India,2,0.33,8,100.0
"Manoharan, Periasamy K.",2030,Tata Institute of Fundamental Research,1,0.37,8,100.0
"Karmakar, Pradip",2030,University of Calcutta,4,0.12,8,75.0
"Nikte, S. S.",2030,Shivaji University,2,0.49,8,100.0
"Bhattacharyya, Arpan",2030,Indian Institute of Science (IISC) - Bangalore,2,0.31,8,100.0
"Yajnik, Urjit A.",2030,Indian Institute of Technology (IIT) - Gandhinagar,1,0.49,8,100.0
"Joshi, Nidhi",2030,Inter-University Centre for Astronomy & Astrophysics,1,0.47,8,100.0
"Das, Santabrata",2030,Indian Institute of Technology (IIT),2,0.16,8,50.0
"Bhuyan, K.",2030,Dibrugarh University,3,0.11,8,66.67
"Wahid, Abdul",2030,University of Kashmir,3,0.12,8,100.0
"Banerjee, Aritra",2030,Indian Institute of Technology (IIT) - Kharagpur,1,0.78,8,100.0
"Sarkar, Sanjay",2030,Gauhati University,1,0.67,8,100.0
"Lochan, Kinjalk",2030,Inter-University Centre for Astronomy & Astrophysics,3,0.41,8,66.67
"Kulkarni, P. G.",2030,North Maharashtra University,1,0.3,8,100.0
"Samal, Pramoda K.",2030,Utkal University,1,0.37,8,100.0
"Sur, D.",2030,University of Calcutta,2,0.4,8,100.0
"Hanasoge, S. M.",2030,Tata Institute of Fundamental Research,1,0.69,8,100.0
"Agrawal, B. K.",2030,Saha Institute of Nuclear Physics,2,0.19,8,100.0
"Bhattacharyya, Bhaswati",2030,University of Pune,1,0.32,8,100.0
"Mustajab, E.",2030,Aligarh Muslim University,1,0.52,8,100.0
"Kumar, Subhash",2030,University of Delhi,1,1.12,8,100.0
"Shukla, A.",2030,Tata Institute of Fundamental Research,2,0.56,8,100.0
"Mishra, S. K.",2030,Institute for Plasma Research (IPR),1,0.52,8,100.0
"Srivastava, Rahul",2030,Indian Institute of Science (IISC) - Bangalore,1,0.41,8,100.0
"Bhattacharyya, Abhijit",2030,University of Calcutta,3,0.19,8,100.0
"Pankunni, Praseetha",2030,Cochin University Science & Technology,1,0.69,8,100.0
"Bhadkamkar, Harshal",2030,Tata Institute of Fundamental Research,1,0.42,8,100.0
"Gaur, Nidhi",2030,Indian Institute of Technology (IIT) - Delhi,6,0.14,8,83.33
"Raju, Avinash",2030,Indian Institute of Science (IISC) - Bangalore,1,0.78,8,100.0
"Sebastian, Saneesh",2030,Cochin University Science & Technology,4,0.26,8,50.0
"Joshi, Himali",2030,Aryabhatta Research Institute of Observational Sciences,1,0.3,8,100.0
"Vyas, Chintan",2030,Sardar Patel University,1,0.3,8,100.0
"Roy, P. Deb",2030,Assam University,3,0.22,8,66.67
"Ingale, M.",2030,Indian Institute of Science Education & Research (IISER) - Pune,2,0.35,8,50.0
"Chengalur, J.",2030,Tata Institute of Fundamental Research,1,0.42,8,100.0
"Nath, Sujit Kumar",2030,Indian Institute of Science (IISC) - Bangalore,2,0.94,8,100.0
"Ajmire, H. G.",2030,Sant Gadge Baba Amravati University,2,0.31,8,100.0
"Bose, Debanjan",2030,Tata Institute of Fundamental Research,1,0.3,8,100.0
"Ganguly, Avijit K.",2030,Banaras Hindu University,2,0.19,8,50.0
"Misra, Shikha",2030,Indian Institute of Technology (IIT) - Delhi,1,0.52,8,100.0
