Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Trivedi, Sandip P.",307,Tata Institute of Fundamental Research,4,1.33,106,100.0
"Samal, M. R.",307,Aryabhatta Research Institute of Observational Sciences,7,0.7,106,100.0
"Pant, Tarun Kumar",307,Vikram Sarabhai Space Center (VSSC),13,0.41,106,100.0
"Dogra, S. M.",310,University of Jammu,1,3.03,105,100.0
"Nayak, T. K.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Joshi, S.",310,Aryabhatta Research Institute of Observational Sciences,12,0.45,105,91.67
"Mahapatra, D. P.",310,Institute of Physics Bhubaneswar (IOPB),1,3.03,105,100.0
"Varma, R.",310,Indian Institute of Technology (IIT) - Bombay,1,3.03,105,100.0
"Bhati, A. K.",310,Panjab University,1,3.03,105,100.0
"Ganti, M. S.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Pal, S. K.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Mazumdar, M. R. Dutta",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Raniwala, S.",310,University of Rajasthan,1,3.03,105,100.0
"Mangotra, L. K.",310,University of Jammu,1,3.03,105,100.0
"Bhuyan, B.",310,Indian Institute of Technology (IIT) - Guwahati,2,6.26,105,100.0
"Jena, C.",310,Institute of Physics Bhubaneswar (IOPB),1,3.03,105,100.0
"Misra, K.",310,Inter-University Centre for Astronomy & Astrophysics,4,1.01,105,100.0
"Prasad, V.",310,Indian Institute of Technology (IIT) - Guwahati,2,6.26,105,100.0
"Phatak, S. C.",310,Institute of Physics Bhubaneswar (IOPB),1,3.03,105,100.0
"Mohanty, B.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Viyogi, Y. P.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Gupta, N.",310,University of Jammu,1,3.03,105,100.0
"Dash, S.",310,Institute of Physics Bhubaneswar (IOPB),1,3.03,105,100.0
"Aggarwal, M. M.",310,Panjab University,1,3.03,105,100.0
"Kumar, L.",310,Panjab University,1,3.03,105,100.0
"Pruthi, N. K.",310,Panjab University,1,3.03,105,100.0
"Ghosh, P.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Nandi, B. K.",310,Indian Institute of Technology (IIT) - Bombay,1,3.03,105,100.0
"Ahammed, Z.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Pujahari, P. R.",310,Indian Institute of Technology (IIT) - Bombay,1,3.03,105,100.0
"Gupta, A.",310,University of Jammu,1,3.03,105,100.0
"Raychaudhuri, Sreerup",310,Tata Institute of Fundamental Research,5,1.19,105,100.0
"Bhasin, A.",310,University of Jammu,1,3.03,105,100.0
