Name,,Publications,publication,Citations,h-index
"405. Venkaiah, Vadlamudi Ch",,6,2016,1,1
"406. Vijayan, Deivanayagam",,6,2015,3,1
"407. Vudayagiri, Ashok",,6,2016,1,1
"408. Yadavalli, Venkateswarlu",,6,2014,40,4
"409. Acharya, Debashis",,5,2014,6,3
"410. Ahamad, Shaik Shakeel",,5,2014,13,2
"411. Allu, Srinivasarao",,5,2015,48,4
"412. Ansari, Suhail A.",,5,2016,43,3
"413. Bambah, Bindu A.",,5,2017,23,6
"414. Banerjee, Atoshi",,5,2014,34,3
"415. Beesu, Mallesh",,5,2013,14,4
"416. Bhanu Sankara Rao, Kota",,5,2014,52,23
"417. Biju, A. R.",,5,2014,41,5
"418. Biswas, Barnali",,5,2015,22,3
"419. Brahma, Rajeeb",,5,2015,12,4
"420. Chintalapati, Venkata Ramana",,5,2016,9,2
"421. Das, Subha Narayan Arayan",,5,2016,11,3
"422. Farquad, Mohammad Abdul Haque",,5,2014,36,5
"423. Ganji, Rakesh",,5,2016,9,2
"424. Ghosh, Nayan",,5,2015,131,6
"425. Gnanesh Kumar, Belur Shivappa",,5,2015,26,3
"426. Hui, Pramiti",,5,2013,49,5
"427. Jayananda, Mudlappa",,5,2016,16,16
"428. Kalangi, Suresh Kumar",,5,2016,36,6
"429. Kannan, V.",,5,2016,3,3
"430. Karthik, K. P.",,5,2014,38,3
"431. Kodru, Sireesha",,5,2015,30,3
"432. Krishna, Gutha Jaya",,5,2016,4,1
"433. Krishna, Patoju M.",,5,2016,60,3
"434. Kumar, Kranti Ashwini",,5,2014,27,1
"435. Kumar, Nadimpalli Siva Iva",,5,2015,14,3
"436. Kumar, Sumit",,5,2016,18,3
"437. Kuntumalla, Mohan Kumar Umar",,5,2015,10,2
"438. Maganti, Madhavilatha",,5,2016,12,3
"439. Makandar, Ragiba",,5,2016,40,5
"439. Makandar, Ragiba",,5,2016,40,5
"440. Malkappa, Kuruma",,5,2016,28,4
"441. Mamta, Sajwan Khatri",,5,2016,12,3
"442. Meetei, Potshangbam Angamba",,5,2016,11,2
"443. Meitei, Maibam Dhanaraj",,5,2016,64,3
"444. Missak Swarup Raju, P.",,5,2014,15,3
"445. Nageswara Rao, E.",,5,2014,30,3
"446. Naidu, Kuna Lakshun",,5,2016,11,1
"447. Naik, Dinesh Narayana",,5,2016,4,14
"448. Parthasarathy, Raghuveer",,5,2016,7,21
"449. Pasupuleti, Satya Ratan",,5,2016,25,4
"450. Pidishety, Shankar",,5,2014,8,2
"451. Prabagar, B.",,5,2016,28,3
"452. Radha, Ramakrishnan",,5,2016,7,6
"453. Raju, K. James James",,5,2014,4,1
"454. Ramakanth, S.",,5,2016,8,3
"455. Ramaprasad, Eedara Veera Venkata",,5,2016,14,7
"456. Rao, A. R Balavardhana",,5,2015,42,3
"457. Rao, D. Narayana",,5,2016,2,1
"458. Rao, Kallurisubba",,5,2016,24,14
"459. Rao, Tammineni Rajagopala",,5,2015,26,4
"460. Rather, Akhter Mohiuddin",,5,2015,30,3
"461. Rotte, Naresh Kumar",,5,2016,68,4
"462. Sahu, Itishri",,5,2016,10,3
"463. Sangani, L. D Varma",,5,2016,6,1
"464. Sanjeevakumar, Nalluri",,5,2014,52,4
"465. Sathish, N.",,5,2012,8,7
"466. Satyanarayana, G. V R",,5,2015,0,2
"467. Seth, Sudipta",,5,2016,16,2
"468. Siva Kumar, Nadimpalli",,5,2014,26,5
"469. Suresh, Palaniappan K.",,5,2016,1,5
"470. Uma, Battepati",,5,2015,25,2
"471. Vanaja, G. R.",,5,2012,133,5
"472. Varam, Sreedevi",,5,2016,14,2
"473. Venkateshwarlu, P.",,5,2016,4,1
"474. Veronica, Jalaja",,5,2016,22,3
"475. Viji, Mayavan",,5,2014,33,4
"476. Vishwakarma, Abhaypratap",,5,2016,30,3
"477. Viswanathan, Nirmal K.",,5,2016,8,2
"478. Anil, Kondreddy U.",,4,2014,5,3
"479. Aparoy, Polamarasetty",,4,2012,44,10
"480. Arunasree, Kalle M.",,4,2014,73,9
"481. Babu, Neelaiah Jagadeesh C",,4,2013,125,13
"482. Banerjee, Sanghamitra",,4,2014,25,2
"483. Bhattacharjee, Madhuchhanda",,4,2016,166,6
"484. Biswas, Shyam",,4,2015,1,13
"Chaitanya, Bharatula Sri Krishna",,4,2015,17,3
"Dash, Raj Kishora",,4,2016,7,4
"Hazarika, Mousumi",,4,2013,61,5
"Kishore, Golla Krishna",,4,2016,36,13
"Kishore, M. Thomas",,4,2014,10,5
"Koteswararao, Bommisetti",,4,2016,5,9
"Madhu, Vedichi",,4,2016,17,6
"Rachamallu, Aparna",,4,2015,45,8
"Ramaiah, K. V.",,4,2015,9,10
"Rani, Kirti Swarupa",,4,2016,0,2
"Reddy, Palakolanu Srinivas",,4,2013,28,6
"Sannigrahi, Arindam",,4,2013,107,11
"Sekhar, Manda Chandra Chandra",,4,2015,45,8
"Sreenivas, Devanga K.",,4,2012,21,3
"Thota, Ganesh Kumar",,4,2016,20,2
"Vachhani, Prashant S.",,4,2016,13,4
