University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
University of Birmingham,65.8,60.4,,,5.4,0.0820668693,0.006734971,,0.0820668693
Cardiff University,65.6,66.8,,,-1.2,-0.0182926829,0.0003346222,,0.0182926829
University of New Mexico,65.6,56.2,,,9.4,0.1432926829,0.020532793,,0.1432926829
Radboud University,65.5,60,,,5.5,0.0839694656,0.0070508712,,0.0839694656
Chalmers University of Technology,64.8,71.9,,,-7.1,-0.1095679012,0.012005125,,0.1095679012
American University of Beirut (AUB),64.8,62.7,,,2.1,0.0324074074,0.0010502401,,0.0324074074
Sultan Qaboos University,64.5,66.9,,,-2.4,-0.0372093023,0.0013845322,,0.0372093023
Auezov South Kazakhstan State University (SKSU),64.5,59.7,,,4.8,0.0744186047,0.0055381287,,0.0744186047
PontifÃ­cia Universidade CatÃ³lica de SÃ£o Paulo,64.2,64.7,,,-0.5,-0.007788162,6.06554672411952E-005,,0.007788162
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,64.1,71.5,,,-7.4,-0.1154446178,0.0133274598,,0.1154446178
The National University of Science and Technology MISIS,64.1,67.8,,,-3.7,-0.0577223089,0.0033318649,,0.0577223089
LinkÃ¶ping University,64,72.8,,,-8.8,-0.1375,0.01890625,,0.1375
University of Florida,63.9,68.2,,,-4.3,-0.0672926448,0.0045283,,0.0672926448
Kobe University,63.9,65.2,,,-1.3,-0.0203442879,0.0004138901,,0.0203442879
Tufts University,63.8,64,,,-0.2,-0.0031347962,9.82694745531224E-006,,0.0031347962
Boston University,63.8,62.5,,,1.3,0.0203761755,0.0004151885,,0.0203761755
Niigata University,63.6,62.7,,,0.9,0.0141509434,0.0002002492,,0.0141509434
Yamaguchi University,63.5,63.6,,,-0.1,-0.0015748031,0.00000248,,0.0015748031
Hong Kong Baptist University,63.5,52.5,,,11,0.1732283465,0.03000806,,0.1732283465
University of Leicester,63.3,64,,,-0.7,-0.0110584518,0.0001222894,,0.0110584518
King Abdulaziz University (KAU),63,70.3,,,-7.3,-0.1158730159,0.0134265558,,0.1158730159
Bond University,63,52.1,,,10.9,0.173015873,0.0299344923,,0.173015873
Xiâ€™an Jiaotong University,62.9,56.9,,,6,0.0953895072,0.0090991581,,0.0953895072
Universitat PolitÃ¨cnica de Catalunya,62.6,62.1,,,0.5,0.0079872204,6.37956904735171E-005,,0.0079872204
University of Geneva,62.5,62.3,,,0.2,0.0032,0.00001024,,0.0032
PolitÃ©cnica de Madrid,62.4,46.5,,,15.9,0.2548076923,0.0649269601,,0.2548076923
Taipei Medical University,62.3,63.3,,,-1,-0.0160513644,0.0002576463,,0.0160513644
National University of Ireland Galway,62.2,72.3,,,-10.1,-0.1623794212,0.0263670764,,0.1623794212
McMaster University,61.9,64.6,,,-2.7,-0.0436187399,0.0019025945,,0.0436187399
University of Science and Technology of China,61.9,62.8,,,-0.9,-0.01453958,0.0002113994,,0.01453958
The New School,61.8,64,,,-2.2,-0.0355987055,0.0012672678,,0.0355987055
"Trinity College Dublin, The University of Dublin",61.8,60.7,,,1.1,0.0177993528,0.000316817,,0.0177993528
Pontificia Universidad CatÃ³lica Argentina Santa MarÃ­a de los Buenos Aires (UCA),61.7,69,,,-7.3,-0.1183144246,0.0139983031,,0.1183144246
University of Alberta,61.7,56.7,,,5,0.0810372771,0.0065670403,,0.0810372771
Gunma University,61.3,62.4,,,-1.1,-0.0179445351,0.0003220063,,0.0179445351
The University of Nottingham,61.3,61.1,,,0.2,0.0032626427,1.06448376529193E-005,,0.0032626427
The Ohio State University,61.2,71.9,,,-10.7,-0.1748366013,0.0305678372,,0.1748366013
University of Tampere,60.7,58,,,2.7,0.0444810544,0.0019785642,,0.0444810544
University of Oklahoma,60.6,65.8,,,-5.2,-0.0858085809,0.0073631125,,0.0858085809
Universidad de Guadalajara (UDG),60.5,48.3,,,12.2,0.2016528926,0.0406638891,,0.2016528926
