# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
218,University of Ottawa,51.3,50.8,36.6,12.8,87,44.1,90.6
219,Hanyang University,51.1,40.1,64.8,98.7,27.4,76.5,17.8
220,Universidad de Chile,50.9,80.1,87.9,22.2,10.8,11.4,21.9
220,Waseda University,50.9,73.6,90.1,35.4,34.9,27.8,10.7
222,Indian Institute of Technology Bombay (IITB),50.7,66,92.5,28.8,4.6,1.6,44.3
222,Simon Fraser University,50.7,47.3,43.4,11.3,93.7,91.7,79.1
222,Sciences Po,50.7,38.9,77.9,93.6,65.7,96.9,2
225,King Fahd University of Petroleum & Minerals,50.5,43.3,50.2,86.9,100,68,11.4
226,Université de Strasbourg,50.4,74.6,27.3,19.3,34.8,62.9,44.8
227,Université Paris-Sorbonne (Paris IV),50.3,87.1,71.8,15.6,32.4,57.7,2.6
228,Université Paris 1 Panthéon-Sorbonne,50,83.4,90.1,5.2,38,73.5,4.7
229,Politecnico di Milano,49.9,67.4,87.3,15.3,31.1,44.1,36.4
230,University College Cork,49.5,40.6,59.8,45.1,89.1,48.9,56.4
230,University of Dundee,49.5,34.5,4.9,74.9,80.3,82.4,59.8
232,National Cheng Kung University (NCKU),49.3,56.6,40.2,50.1,20.5,31.6,49.5
233,Saint-Petersburg State University,49.2,55.7,48.5,98.8,5.3,24.8,3.7
234,Technische Universität Dresden,49.1,46.7,70.8,22.8,18.4,37,79.3
235,Indian Institute of Technology Delhi (IITD),48.6,56.8,86.3,43.9,2.2,3.7,40.5
235,Dalhousie University,48.6,43.2,15.7,31,97.7,60.3,77.8
237,University of Notre Dame,48.5,40.1,42.8,50.6,72.7,23.5,65.9
238,University of Milan,48.2,67.6,37.5,18.4,15.1,11.9,61.3
239,University of Miami,47.6,26.1,20.2,95.8,10.6,37.6,67.5
240,Beijing Normal University,47.4,59.9,50.6,46.6,57,23.7,24.6
240,University of East Anglia (UEA),47.4,40.9,22.1,46.2,81.1,88.2,55.2
242,University of Canterbury,47.2,42.8,67.5,24.5,100,64.3,50.4
243,Chulalongkorn University,47.1,75.6,65.7,33.4,15.1,4,12.5
244,Charles University in Prague,47,60.7,55.2,44.6,16.9,46.1,25.1
245,University of Pisa,46.9,65.5,35.1,7.5,13,10.7,71.9
246,Norwegian University of Science And Technology,46.4,45.6,52.3,37,77.5,41.6,47.4
246,Vienna University of Technology,46.4,43.4,71,15.9,59.1,84.9,57.3
246,University of Strathclyde,46.4,43.3,74,34.8,85,64.2,35.9
249,Westfälische Wilhelms-Universitat Münster,46.2,47.7,69.8,51.6,29,18.4,36.5
