University,Industry Income-16,Industry Income-17,,,B2-C2,D2/B2,E2^2,,,
Carleton UniversityCanada,30.4,33.9,,,-3.5,-0.1151315789,0.0132552805,,,0.1151315789
Saint Louis UniversityUnited States,29.9,33.9,,,-4,-0.1337792642,0.0178968915,,,0.1337792642
Auckland University of TechnologyNew Zealand,28.5,33.9,,,-5.4,-0.1894736842,0.035900277,,,0.1894736842
Pontifical Catholic University of ParanÃ¡Brazil,28,33.9,,,-5.9,-0.2107142857,0.0444005102,,,0.2107142857
Brandeis UniversityUnited States,38.6,33.8,,,4.8,0.1243523316,0.0154635024,,,0.1243523316
Stockholm UniversitySweden,31.1,33.8,,,-2.7,-0.0868167203,0.0075371429,,,0.0868167203
University of MissouriUnited States,31.1,33.8,,,-2.7,-0.0868167203,0.0075371429,,,0.0868167203
University of JordanJordan,28.8,33.8,,,-5,-0.1736111111,0.0301408179,,,0.1736111111
University of St AndrewsUnited Kingdom,30.6,33.7,,,-3.1,-0.1013071895,0.0102631467,,,0.1013071895
University of SussexUnited Kingdom,30.6,33.7,,,-3.1,-0.1013071895,0.0102631467,,,0.1013071895
University of StirlingUnited Kingdom,30.4,33.7,,,-3.3,-0.1085526316,0.0117836738,,,0.1085526316
Rochester Institute of TechnologyUnited States,30.4,33.7,,,-3.3,-0.1085526316,0.0117836738,,,0.1085526316
University of HaifaIsrael,30.3,33.7,,,-3.4,-0.1122112211,0.0125913581,,,0.1122112211
Ã–rebro UniversitySweden,29.8,33.7,,,-3.9,-0.1308724832,0.0171276069,,,0.1308724832
Suranaree University of TechnologyThailand,38.1,33.6,,,4.5,0.1181102362,0.0139500279,,,0.1181102362
Bangor UniversityUnited Kingdom,31,33.6,,,-2.6,-0.0838709677,0.0070343392,,,0.0838709677
Federal University of Minas GeraisBrazil,30.7,33.6,,,-2.9,-0.0944625407,0.0089231716,,,0.0944625407
New York UniversityUnited States,30.4,33.6,,,-3.2,-0.1052631579,0.0110803324,,,0.1052631579
"Tehran University of Medical SciencesIran, Islamic Republic of",30,33.6,,,-3.6,-0.12,0.0144,,,0.12
Jagiellonian UniversityPoland,28,33.6,,,-5.6,-0.2,0.04,,,0.2
Oakland UniversityUnited States,30.3,33.5,,,-3.2,-0.1056105611,0.0111535906,,,0.1056105611
University of ViennaAustria,30.2,33.5,,,-3.3,-0.1092715232,0.0119402658,,,0.1092715232
University of MurciaSpain,29.5,33.5,,,-4,-0.1355932203,0.0183855214,,,0.1355932203
University of BrightonUnited Kingdom,29.4,33.5,,,-4.1,-0.1394557823,0.0194479152,,,0.1394557823
University of CalcuttaIndia,29.2,33.5,,,-4.3,-0.147260274,0.0216855883,,,0.147260274
Masaryk UniversityCzech Republic,28.5,33.5,,,-5,-0.1754385965,0.0307787011,,,0.1754385965
University of OviedoSpain,34.1,33.4,,,0.7,0.0205278592,0.000421393,,,0.0205278592
"University of Maryland, Baltimore CountyUnited States",31.7,33.4,,,-1.7,-0.0536277603,0.0028759367,,,0.0536277603
Cairo UniversityEgypt,30.3,33.4,,,-3.1,-0.102310231,0.0104673834,,,0.102310231
University of GreenwichUnited Kingdom,30,33.4,,,-3.4,-0.1133333333,0.0128444444,,,0.1133333333
Sophia UniversityJapan,29.5,33.4,,,-3.9,-0.1322033898,0.0174777363,,,0.1322033898
George Mason UniversityUnited States,29.1,33.4,,,-4.3,-0.147766323,0.0218348862,,,0.147766323
University of OregonUnited States,30.8,33.3,,,-2.5,-0.0811688312,0.0065883792,,,0.0811688312
Saitama UniversityJapan,29.6,33.3,,,-3.7,-0.125,0.015625,,,0.125
Saint Petersburg State UniversityRussian Federation,29.5,33.3,,,-3.8,-0.1288135593,0.0165929331,,,0.1288135593
University of LincolnUnited Kingdom,29.3,33.3,,,-4,-0.1365187713,0.0186373749,,,0.1365187713
"City, University of LondonUnited Kingdom",28.9,33.3,,,-4.4,-0.1522491349,0.0231797991,,,0.1522491349
American University of SharjahUnited Arab Emirates,33.3,33.2,,,0.1,0.003003003,0.000009018,,,0.003003003
Prince of Songkla UniversityThailand,31.6,33.2,,,-1.6,-0.0506329114,0.0025636917,,,0.0506329114
Jordan University of Science and TechnologyJordan,31.4,33.2,,,-1.8,-0.0573248408,0.0032861374,,,0.0573248408
United Arab Emirates UniversityUnited Arab Emirates,30.1,33.2,,,-3.1,-0.1029900332,0.0106069469,,,0.1029900332
Glasgow Caledonian UniversityUnited Kingdom,29.9,33.2,,,-3.3,-0.110367893,0.0121810718,,,0.110367893
University of GranadaSpain,29.4,33.2,,,-3.8,-0.1292517007,0.0167060021,,,0.1292517007
San Diego State UniversityUnited States,29.3,33.2,,,-3.9,-0.133105802,0.0177171545,,,0.133105802
University of GrazAustria,29.3,33.2,,,-3.9,-0.133105802,0.0177171545,,,0.133105802
Keele UniversityUnited Kingdom,29.3,33.2,,,-3.9,-0.133105802,0.0177171545,,,0.133105802
University of North Carolina at GreensboroUnited States,28.9,33.2,,,-4.3,-0.1487889273,0.0221381449,,,0.1487889273
Universiti Teknologi MalaysiaMalaysia,31.1,33.1,,,-2,-0.0643086817,0.0041356065,,,0.0643086817
"Birla Institute of Technology and Science, PilaniIndia",29.6,33.1,,,-3.5,-0.1182432432,0.0139814646,,,0.1182432432
Ulster UniversityUnited Kingdom,29.2,33.1,,,-3.9,-0.1335616438,0.0178387127,,,0.1335616438
University of HertfordshireUnited Kingdom,29.3,33,,,-3.7,-0.1262798635,0.0159466039,,,0.1262798635
Savitribai Phule Pune UniversityIndia,29.3,33,,,-3.7,-0.1262798635,0.0159466039,,,0.1262798635
Northumbria UniversityUnited Kingdom,29.1,33,,,-3.9,-0.1340206186,0.0179615262,,,0.1340206186
"University of SeoulKorea, Republic of",28.9,33,,,-4.1,-0.1418685121,0.0201266747,,,0.1418685121
