University,PUB-14,PUB,,,,,,,
Vienna University of Technology,29,28.8,,,0.2,0.0068965517,4.75624256837095E-005,,0.0068965517
University of Eastern Finland,27.9,28.8,,,-0.9,-0.0322580645,0.0010405827,,0.0322580645
George Mason University,27.9,28.7,,,-0.8,-0.0286738351,0.0008221888,,0.0286738351
University of Central Florida,29.3,28.6,,,0.7,0.023890785,0.0005707696,,0.023890785
University of Marburg,29.5,28.5,,,1,0.0338983051,0.0011490951,,0.0338983051
University of Oulu,28.8,28.5,,,0.3,0.0104166667,0.0001085069,,0.0104166667
"University of Technology, Sydney",28,28.5,,,-0.5,-0.0178571429,0.0003188776,,0.0178571429
University of East Anglia,29.9,28.3,,,1.6,0.0535117057,0.0028635026,,0.0535117057
Okayama University,29.6,28.3,,,1.3,0.0439189189,0.0019288714,,0.0439189189
University of Palermo,28.6,28.2,,,0.4,0.013986014,0.0001956086,,0.013986014
Auburn University,28.2,28.2,,,0,0,0,,0
University of Rennes 1,28.2,28.1,,,0.1,0.0035460993,1.25748201800709E-005,,0.0035460993
University of Oklahoma - Norman,28.9,28,,,0.9,0.0311418685,0.000969816,,0.0311418685
Polytechnic University of Catalonia,28.7,27.9,,,0.8,0.0278745645,0.0007769913,,0.0278745645
Kansas State University,28,27.9,,,0.1,0.0035714286,1.27551020408167E-005,,0.0035714286
University of Bath,27.5,27.9,,,-0.4,-0.0145454545,0.0002115702,,0.0145454545
Technical University Darmstadt,27.4,27.8,,,-0.4,-0.0145985401,0.0002131174,,0.0145985401
University of Regensburg,28.7,27.7,,,1,0.0348432056,0.001214049,,0.0348432056
Bar-Ilan University,28.1,27.7,,,0.4,0.0142348754,0.0002026317,,0.0142348754
Ewha Womans University,27.8,27.7,,,0.1,0.0035971223,1.29392888566848E-005,,0.0035971223
Oklahoma State University,28.5,27.6,,,0.9,0.0315789474,0.0009972299,,0.0315789474
The University of Texas at Dallas,27.5,27.6,,,-0.1,-0.0036363636,1.32231404958681E-005,,0.0036363636
University of Massachusetts Medical School - Worcester,27.7,27.4,,,0.3,0.0108303249,0.0001172959,,0.0108303249
James Cook University,27.3,27.4,,,-0.1,-0.0036630037,1.34175958351777E-005,,0.0036630037
University of Oregon,27.1,27.3,,,-0.2,-0.0073800738,5.44654893043392E-005,,0.0073800738
