University,N&S-14,N&S,,,,,,,
University of Pennsylvania,44.6,39.6,,,5,0.1121076233,0.0125681192,,0.1121076233
Duke University,40.6,39,,,1.6,0.039408867,0.0015530588,,0.039408867
University of Toronto,42.2,38.6,,,3.6,0.0853080569,0.0072774646,,0.0853080569
The University of Texas at Austin,36.3,37.5,,,-1.2,-0.0330578512,0.0010928215,,0.0330578512
Northwestern University,39.5,37,,,2.5,0.0632911392,0.0040057683,,0.0632911392
University of Colorado at Boulder,40.1,36,,,4.1,0.102244389,0.0104539151,,0.102244389
University of Wisconsin - Madison,37.4,35.7,,,1.7,0.0454545455,0.0020661157,,0.0454545455
The University of Texas Southwestern Medical Center at Dallas,37.2,35.6,,,1.6,0.0430107527,0.0018499248,,0.0430107527
Weizmann Institute of Science,34.4,34.7,,,-0.3,-0.0087209302,7.60546241211487E-005,,0.0087209302
"The Imperial College of Science, Technology and Medicine",38,34.5,,,3.5,0.0921052632,0.0084833795,,0.0921052632
University of Copenhagen,32,34,,,-2,-0.0625,0.00390625,,0.0625
"University of California, Santa Cruz",34.3,33.9,,,0.4,0.0116618076,0.0001359978,,0.0116618076
University of North Carolina at Chapel Hill,36.3,33.5,,,2.8,0.0771349862,0.0059498061,,0.0771349862
"University of California, Davis",35.1,33,,,2.1,0.0598290598,0.0035795164,,0.0598290598
Kyoto University,35,32.6,,,2.4,0.0685714286,0.0047020408,,0.0685714286
"University of Minnesota, Twin Cities",34.5,32.5,,,2,0.0579710145,0.0033606385,,0.0579710145
University of Illinois at Urbana-Champaign,36,32.4,,,3.6,0.1,0.01,,0.1
University of Bristol,34.2,32.4,,,1.8,0.0526315789,0.0027700831,,0.0526315789
University of British Columbia,34,32,,,2,0.0588235294,0.0034602076,,0.0588235294
Pennsylvania State University - University Park,33,31.6,,,1.4,0.0424242424,0.0017998163,,0.0424242424
"University of Maryland, College Park",32.5,31.6,,,0.9,0.0276923077,0.0007668639,,0.0276923077
The University of Edinburgh,32.5,30.5,,,2,0.0615384615,0.0037869822,,0.0615384615
University Paris Diderot - Paris 7,32.2,30.2,,,2,0.0621118012,0.0038578759,,0.0621118012
Pierre and Marie  Curie University - Paris 6,30.2,29.8,,,0.4,0.0132450331,0.0001754309,,0.0132450331
