Name,Publications,publication,Citation,h-index
"339. Nandi, Rajib K.",15,2016,47,5
"255. Srivastava, Rajeev",19,2016,40,5
"417. Pandit, Jayant K.",13,2016,39,5
"223. Nagar, Shyam Krishna",20,2016,36,5
"308. Pandey, Rajendra K.",16,2016,36,5
"363. Jain, Madhu R.",14,2017,33,5
"298. Gambhir, Indrajeet Singh",16,2016,24,5
"388. Singh, Pawan Kumar",14,2017,21,5
"456. Mall, R. K.",12,2016,7,5
"407. Jaiswal, Deepika",13,2016,83,4
"250. Shukla, Anjani Kumar",19,2016,76,4
"318. Singh, Roop Shikha",16,2017,76,4
"217. Dubey, Govind Prasad",20,2016,70,4
"119. Singh, Hari Shankar",28,2016,69,4
"240. Dani, R. K.",19,2017,69,4
"282. Gundampati, Ravi Kumar",17,2016,64,4
"163. Mishra, Vinod Kumar",24,2016,61,4
"411. Kumar, Ashok",13,2017,61,4
"300. Hira, Sumit Kumar",16,2016,60,4
"408. Karki, Kanchan",13,2015,59,4
"208. Singh, Ashutosh K.",21,2017,55,4
"400. Bharati, Pooja",13,2016,48,4
"437. Akella, Aparna",12,2016,47,4
"204. Kumar, Ashok",21,2016,34,4
"425. Singh, Kunal P.",13,2016,34,4
"460. Mitra, Kheyanath",12,2016,34,4
"467. Singh, Anil Kumar",12,2016,34,4
"372. Nath, Abhigyan",14,2017,33,4
"344. Raha, Priyankar",15,2016,29,4
"421. Sharma, Poornima",13,2016,29,4
"428. Singh, Ramesh Kumar",13,2016,27,4
"343. Prasad, Surendra N.",15,2016,23,4
"254. Singh, Satyendra Kumar",19,2016,20,4
"153. Saket, R. K.",25,2016,17,4
"463. Rai, Piyush",12,2017,13,4
"Pyare, Ram",11,2016,13,4
"353. Singh, Vartika P.",15,2017,6,4
"185. Bharti, Pradutt Kumar",22,2016,52,3
"328. Basu, Priyoneel",15,2017,37,3
"218. Dwivedi, Amit Nandan Dhar",20,2017,36,3
"403. Dwivedi, Padmanabh",13,2017,32,3
"448. Krishna, Sarika V.",12,2016,31,3
"474. Subbiah, Karthikeyan",12,2016,27,3
"439. Bose, Bandana",12,2016,19,3
"439. Bose, Bandana",12,2016,19,3
"466. Singh, Amitesh Kumar",12,2016,16,3
"Sharma, Indira J.",11,2015,15,3
"Rakshit, Amitava",11,2016,11,3
"443. Dwivedi, J. P.",12,2017,6,3
"451. Kumar, Nilesh Sunil",12,2016,6,3
"369. Meena, Raghuvir Singh",14,2016,4,3
"380. Rasane, Prasad",14,2016,21,2
"414. Manchanda, Kajal",13,2014,18,2
"409. Kaushik, Manish Singh",13,2017,12,2
"475. Swati, D.",12,2016,9,2
"Meena, Ramawatar N.",11,2016,3,1
